Gm=200 dt=1.0
---
   it     t(ms)         Vm(mV)
          36   36.0000000       53.5393181    
          37   37.0000000       55.0039253    
          38   38.0000000       56.4538879    
          39   39.0000000       57.8893509    
          40   40.0000000       59.3104591    
          41   41.0000000       60.7173538    
          42   42.0000000       62.1101799    
          43   43.0000000       63.4890785    
          44   44.0000000       64.8541870    
          45   45.0000000       66.2056427    
          46   46.0000000       67.5435867    
          47   47.0000000       68.8681488    
          48   48.0000000       70.1794662    
          49   49.0000000       71.4776688    
          50   50.0000000       72.7628937    
          51   51.0000000       72.0352631    
          52   52.0000000       71.3149109    
          53   53.0000000       70.6017609    
          54   54.0000000       69.8957443    
          55   55.0000000       69.1967850    
          56   56.0000000       68.5048141    
          57   57.0000000       67.8197632    
          58   58.0000000       67.1415634    
          59   59.0000000       66.4701462    
          60   60.0000000       65.8054428    
          61   61.0000000       65.1473846    
          62   62.0000000       64.4959106    
          63   63.0000000       63.8509521    
          64   64.0000000       63.2124443    
          65   65.0000000       62.5803185    
          66   66.0000000       61.9545135    
          67   67.0000000       61.3349686    
          68   68.0000000       60.7216187    
          69   69.0000000       60.1144028    
          70   70.0000000       59.5132599    
          71   71.0000000       58.9181290    
          72   72.0000000       58.3289490    
          73   73.0000000       57.7456589    
          74   74.0000000       57.1682014    
          75   75.0000000       56.5965195    
          76   76.0000000       56.0305557    
          77   77.0000000       55.4702492    
          78   78.0000000       54.9155464    
          79   79.0000000       54.3663902    

