   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
          79   4.00000063E-05   7.88461621E-05   7.88438338E-05  -2.95306090E-05
          80   4.05000028E-05   7.98422188E-05   7.98404217E-05  -2.25094191E-05
          81   4.10000030E-05   8.08382247E-05   8.08358163E-05  -2.97930055E-05
          82   4.15000031E-05   8.18341796E-05   8.18324042E-05  -2.16947519E-05
          83   4.20000033E-05   8.28300908E-05   8.28278062E-05  -2.75831371E-05
          84   4.25000035E-05   8.38259512E-05   8.38243941E-05  -1.85751996E-05
          85   4.30000036E-05   8.48217605E-05   8.48197888E-05  -2.32467519E-05
          86   4.35000038E-05   8.58175190E-05   8.58151907E-05  -2.71316349E-05
          87   4.40000040E-05   8.68132265E-05   8.68105853E-05  -3.04245459E-05
          88   4.45000042E-05   8.78088831E-05   8.78071733E-05  -1.94727836E-05
          89   4.50000043E-05   8.88044960E-05   8.88025752E-05  -2.16305980E-05
          90   4.55000045E-05   8.98000580E-05   8.97979698E-05  -2.32544207E-05
          91   4.60000047E-05   9.07955691E-05   9.07933718E-05  -2.42015376E-05
          92   4.65000048E-05   9.17910293E-05   9.17887664E-05  -2.46525033E-05
          93   4.70000050E-05   9.27864385E-05   9.27841611E-05  -2.45448646E-05
          94   4.75000052E-05   9.37817967E-05   9.37795630E-05  -2.38188240E-05
          95   4.80000053E-05   9.47771041E-05   9.47749577E-05  -2.26474112E-05
          96   4.85000055E-05   9.57723678E-05   9.57703596E-05  -2.09685368E-05
          97   4.90000057E-05   9.67675805E-05   9.67657543E-05  -1.88730537E-05
          98   4.95000058E-05   9.77627424E-05   9.77599630E-05  -2.84310227E-05
          99   5.00000060E-05   9.87578533E-05   9.87553576E-05  -2.52710688E-05
         100   5.05000062E-05   9.97529132E-05   9.97507523E-05  -2.16635908E-05
         101   5.10000064E-05   1.00747922E-04   1.00744961E-04  -2.93941721E-05
         102   5.15000065E-05   1.01742888E-04   1.01740356E-04  -2.48872075E-05
         103   5.20000067E-05   1.02737802E-04   1.02735758E-04  -1.99009974E-05
         104   5.25000069E-05   1.03732666E-04   1.03729959E-04  -2.60932939E-05
         105   5.30000070E-05   1.04727478E-04   1.04725361E-04  -2.02176780E-05
         106   5.35000072E-05   1.05722240E-04   1.05719562E-04  -2.53269336E-05
         107   5.40000074E-05   1.06716951E-04   1.06713771E-04  -2.97955303E-05
         108   5.45000075E-05   1.07711618E-04   1.07709166E-04  -2.27649871E-05
         109   5.50000077E-05   1.08706234E-04   1.08703374E-04  -2.63050842E-05
         110   5.55000079E-05   1.09700799E-04   1.09697576E-04  -2.93830490E-05
         111   5.60000044E-05   1.10695313E-04   1.10692978E-04  -2.10996441E-05
         112   5.65000046E-05   1.11689777E-04   1.11687179E-04  -2.32570728E-05
         113   5.70000047E-05   1.12684189E-04   1.12681388E-04  -2.48598608E-05
         114   5.75000049E-05   1.13678558E-04   1.13675589E-04  -2.61145833E-05
         115   5.80000051E-05   1.14672875E-04   1.14669798E-04  -2.68399363E-05
         116   5.85000053E-05   1.15667142E-04   1.15663999E-04  -2.71753852E-05
         117   5.90000054E-05   1.16661358E-04   1.16658208E-04  -2.70061555E-05
         118   5.95000056E-05   1.17655523E-04   1.17652417E-04  -2.64068858E-05
         119   6.00000058E-05   1.18649637E-04   1.18646618E-04  -2.54497136E-05
         120   6.05000059E-05   1.19643708E-04   1.19640827E-04  -2.40827430E-05
         121   6.10000061E-05   1.20637727E-04   1.20635028E-04  -2.23764218E-05
         122   6.15000099E-05   1.21631696E-04   1.21629237E-04  -2.02194278E-05
         123   6.20000064E-05   1.22625614E-04   1.22622252E-04  -2.74133963E-05
         124   6.25000102E-05   1.23619480E-04   1.23616453E-04  -2.44854000E-05
         125   6.30000068E-05   1.24613303E-04   1.24610655E-04  -2.12537889E-05
         126   6.35000106E-05   1.25607068E-04   1.25603678E-04  -2.69944030E-05
         127   6.40000071E-05   1.26600789E-04   1.26597879E-04  -2.29891921E-05
         128   6.45000036E-05   1.27594452E-04   1.27590887E-04  -2.79425858E-05
         129   6.50000075E-05   1.28588072E-04   1.28585103E-04  -2.30865826E-05
         130   6.55000040E-05   1.29581647E-04   1.29578111E-04  -2.72894504E-05
         131   6.60000078E-05   1.30575165E-04   1.30572313E-04  -2.18436453E-05
         132   6.65000043E-05   1.31568639E-04   1.31565335E-04  -2.51075617E-05
         133   6.70000081E-05   1.32562054E-04   1.32558343E-04  -2.79932465E-05
         134   6.75000047E-05   1.33555426E-04   1.33552545E-04  -2.15741238E-05
         135   6.80000085E-05   1.34548754E-04   1.34545568E-04  -2.36861724E-05
         136   6.85000050E-05   1.35542025E-04   1.35538576E-04  -2.54451825E-05
         137   6.90000088E-05   1.36535251E-04   1.36531584E-04  -2.68588592E-05
         138   6.95000053E-05   1.37528419E-04   1.37524607E-04  -2.77230520E-05
         139   7.00000091E-05   1.38521544E-04   1.38517615E-04  -2.83647478E-05
         140   7.05000057E-05   1.39514625E-04   1.39510623E-04  -2.86843861E-05
         141   7.10000095E-05   1.40507647E-04   1.40503646E-04  -2.84816579E-05
         142   7.15000060E-05   1.41500626E-04   1.41496654E-04  -2.80760905E-05
         143   7.20000098E-05   1.42493547E-04   1.42489662E-04  -2.72676716E-05
         144   7.25000064E-05   1.43486424E-04   1.43482685E-04  -2.60647630E-05
         145   7.30000102E-05   1.44479243E-04   1.44475693E-04  -2.45762258E-05
         146   7.35000067E-05   1.45472019E-04   1.45468715E-04  -2.27078708E-05
         147   7.40000105E-05   1.46464750E-04   1.46460530E-04  -2.88136016E-05
         148   7.45000070E-05   1.47457424E-04   1.47453538E-04  -2.63497332E-05
         149   7.50000108E-05   1.48450054E-04   1.48446561E-04  -2.35267125E-05
         150   7.55000074E-05   1.49442625E-04   1.49438376E-04  -2.84341913E-05
         151   7.60000112E-05   1.50435153E-04   1.50431384E-04  -2.50542544E-05
         152   7.65000077E-05   1.51427637E-04   1.51424407E-04  -2.13342428E-05
         153   7.70000115E-05   1.52420063E-04   1.52416222E-04  -2.52053596E-05
         154   7.75000080E-05   1.53412446E-04   1.53408051E-04  -2.86469858E-05
         155   7.80000119E-05   1.54404770E-04   1.54401059E-04  -2.40331156E-05
         156   7.85000084E-05   1.55397051E-04   1.55392889E-04  -2.67827436E-05
         157   7.90000122E-05   1.56389287E-04   1.56385897E-04  -2.16809585E-05
         158   7.95000087E-05   1.57381466E-04   1.57377712E-04  -2.38559460E-05
         159   8.00000125E-05   1.58373601E-04   1.58369541E-04  -2.56361436E-05
         160   8.05000091E-05   1.59365678E-04   1.59361356E-04  -2.71202443E-05
         161   8.10000056E-05   1.60357711E-04   1.60353185E-04  -2.82229848E-05
         162   8.15000094E-05   1.61349686E-04   1.61346194E-04  -2.16457520E-05
         163   8.20000059E-05   1.62341617E-04   1.62338009E-04  -2.22306226E-05
         164   8.25000097E-05   1.63333505E-04   1.63329838E-04  -2.24520063E-05
         165   8.30000063E-05   1.64325334E-04   1.64321653E-04  -2.24050491E-05
         166   8.35000101E-05   1.65317120E-04   1.65313482E-04  -2.20065467E-05
         167   8.40000066E-05   1.66308848E-04   1.66305297E-04  -2.13502954E-05
         168   8.45000104E-05   1.67300532E-04   1.67295933E-04  -2.74866525E-05
         169   8.50000069E-05   1.68292172E-04   1.68287748E-04  -2.62870126E-05
         170   8.55000108E-05   1.69283754E-04   1.69279578E-04  -2.46716099E-05
         171   8.60000073E-05   1.70275292E-04   1.70271393E-04  -2.29041016E-05
         172   8.65000111E-05   1.71266773E-04   1.71262029E-04  -2.76998016E-05
         173   8.70000076E-05   1.72258209E-04   1.72253844E-04  -2.53438448E-05
         174   8.75000114E-05   1.73249602E-04   1.73245659E-04  -2.27628734E-05
         175   8.80000080E-05   1.74240937E-04   1.74236295E-04  -2.66423303E-05
         176   8.85000118E-05   1.75232228E-04   1.75228110E-04  -2.35018906E-05
         177   8.90000083E-05   1.76223461E-04   1.76218746E-04  -2.67554988E-05
