   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
           0   1.00000005E-04   0.00000000       0.00000000       0.00000000    
           1   2.00000009E-04   2.00000009E-04   1.99003218E-04  -5.00892242E-03
           2   3.00000014E-04   3.98000004E-04   3.96026357E-04  -4.98362584E-03
           3   4.00000019E-04   5.94020006E-04   5.91089716E-04  -4.95743705E-03
           4   5.00000024E-04   7.88079808E-04   7.84211152E-04  -4.93318122E-03
           5   6.00000028E-04   9.80199082E-04   9.75412084E-04  -4.90766717E-03
           6   7.00000033E-04   1.17039715E-03   1.16470933E-03  -4.88346722E-03
           7   8.00000038E-04   1.35869323E-03   1.35212415E-03  -4.85834386E-03
           8   9.00000043E-04   1.54510629E-03   1.53767341E-03  -4.83385194E-03
           9   1.00000005E-03   1.72965520E-03   1.72137609E-03  -4.80958726E-03
          10   1.09999999E-03   1.91235868E-03   1.90325140E-03  -4.78512049E-03
          11   1.20000006E-03   2.09323503E-03   2.08331691E-03  -4.76073520E-03
          12   1.30000012E-03   2.27230275E-03   2.26159091E-03  -4.73641790E-03
          13   1.40000007E-03   2.44957977E-03   2.43809097E-03  -4.71220957E-03
          14   1.50000001E-03   2.62508402E-03   2.61283503E-03  -4.68800636E-03
          15   1.60000008E-03   2.79883319E-03   2.78584007E-03  -4.66398429E-03
          16   1.70000014E-03   2.97084497E-03   2.95712473E-03  -4.63972474E-03
          17   1.80000009E-03   3.14113661E-03   3.12670344E-03  -4.61609848E-03
          18   1.90000003E-03   3.30972532E-03   3.29459552E-03  -4.59230924E-03
          19   2.00000009E-03   3.47662810E-03   3.46081727E-03  -4.56852512E-03
          20   2.10000016E-03   3.64186196E-03   3.62538570E-03  -4.54469165E-03
          21   2.19999999E-03   3.80544341E-03   3.78831499E-03  -4.52138204E-03
          22   2.30000005E-03   3.96738900E-03   3.94962402E-03  -4.49789083E-03
          23   2.40000011E-03   4.12771525E-03   4.10932768E-03  -4.47459240E-03
          24   2.50000018E-03   4.28643823E-03   4.26744344E-03  -4.45109326E-03
          25   2.60000024E-03   4.44357377E-03   4.42398433E-03  -4.42800811E-03
          26   2.70000007E-03   4.59913816E-03   4.57896804E-03  -4.40494856E-03
          27   2.80000013E-03   4.75314679E-03   4.73240949E-03  -4.38197376E-03
          28   2.90000020E-03   4.90561547E-03   4.88432497E-03  -4.35894402E-03
          29   3.00000003E-03   5.05655911E-03   5.03472891E-03  -4.33592405E-03
          30   3.10000009E-03   5.20599354E-03   5.18363575E-03  -4.31314949E-03
          31   3.20000015E-03   5.35393367E-03   5.33106085E-03  -4.29048110E-03
          32   3.30000021E-03   5.50039439E-03   5.47701959E-03  -4.26779548E-03
          33   3.40000028E-03   5.64539060E-03   5.62152592E-03  -4.24523093E-03
          34   3.50000011E-03   5.78893675E-03   5.76459384E-03  -4.22283169E-03
          35   3.60000017E-03   5.93104726E-03   5.90623822E-03  -4.20047995E-03
          36   3.70000023E-03   6.07173657E-03   6.04647398E-03  -4.17807000E-03
          37   3.80000006E-03   6.21101912E-03   6.18531322E-03  -4.15595761E-03
          38   3.90000013E-03   6.34890888E-03   6.32277224E-03  -4.13373066E-03
          39   4.00000019E-03   6.48541981E-03   6.45886268E-03  -4.11173468E-03
          40   4.10000002E-03   6.62056543E-03   6.59359898E-03  -4.08979133E-03
          41   4.20000032E-03   6.75435970E-03   6.72699418E-03  -4.06801561E-03
          42   4.30000015E-03   6.88681612E-03   6.85906410E-03  -4.04603546E-03
          43   4.39999998E-03   7.01794773E-03   6.98981853E-03  -4.02431050E-03
          44   4.50000027E-03   7.14776805E-03   7.11927144E-03  -4.00274200E-03
          45   4.60000010E-03   7.27629056E-03   7.24743726E-03  -3.98117350E-03
          46   4.70000040E-03   7.40352785E-03   7.37432716E-03  -3.95977637E-03
          47   4.80000023E-03   7.52949249E-03   7.49995559E-03  -3.93827586E-03
          48   4.90000006E-03   7.65419751E-03   7.62433279E-03  -3.91702726E-03
          49   5.00000035E-03   7.77765550E-03   7.74747226E-03  -3.89588135E-03
          50   5.10000018E-03   7.89987855E-03   7.86938798E-03  -3.87457944E-03
          51   5.20000048E-03   8.02087970E-03   7.99008831E-03  -3.85369803E-03
          52   5.30000031E-03   8.14067107E-03   8.10959004E-03  -3.83262639E-03
          53   5.40000014E-03   8.25926475E-03   8.22790153E-03  -3.81181273E-03
          54   5.50000044E-03   8.37667193E-03   8.34503490E-03  -3.79111990E-03
          55   5.60000027E-03   8.49290565E-03   8.46100412E-03  -3.77041823E-03
          56   5.70000010E-03   8.60797614E-03   8.57581943E-03  -3.74969491E-03
          57   5.80000039E-03   8.72189645E-03   8.68949015E-03  -3.72936740E-03
          58   5.90000022E-03   8.83467775E-03   8.80203303E-03  -3.70877027E-03
          59   6.00000005E-03   8.94633122E-03   8.91345460E-03  -3.68842599E-03
          60   6.10000035E-03   9.05686803E-03   9.02376790E-03  -3.66810593E-03
          61   6.20000018E-03   9.16629937E-03   9.13298316E-03  -3.64789926E-03
          62   6.30000047E-03   9.27463640E-03   9.24111065E-03  -3.62789189E-03
          63   6.40000030E-03   9.38189030E-03   9.34816431E-03  -3.60776554E-03
          64   6.50000013E-03   9.48807131E-03   9.45415255E-03  -3.58771114E-03
          65   6.60000043E-03   9.59319063E-03   9.55908559E-03  -3.56781320E-03
          66   6.70000026E-03   9.69725847E-03   9.66297369E-03  -3.54805659E-03
          67   6.80000056E-03   9.80028603E-03   9.76582896E-03  -3.52833048E-03
          68   6.90000039E-03   9.90228355E-03   9.86766070E-03  -3.50871892E-03
          69   7.00000022E-03   1.00032603E-02   9.96847823E-03  -3.48920911E-03
          70   7.10000051E-03   1.01032276E-02   1.00682946E-02  -3.46960244E-03
          71   7.20000034E-03   1.02021955E-02   1.01671172E-02  -3.45016830E-03
          72   7.30000017E-03   1.03001734E-02   1.02649545E-02  -3.43098398E-03
