# J  n_spikes  f(Hz)
2.24 1 0.0000000000000000
5.9 2 0.0000000000000000
6.19 21 53.805309734513266
6.5 23 58.292852185981943
7 24 61.324041811846683
8 25 65.415244596131956
10 28 71.096527208094074
12 30 75.629684651225602
15 32 81.344902386117141
20 35 89.128966914247130
25 38 95.611181196467683
30 40 101.34008933928928
40 44 111.16257526632700
50 47 119.59338249950167
60 50 126.99252596071167
70 2 0.0000000000000000
80 2 0.0000000000000000
100 1 0.0000000000000000
