   it     t(ms)         Vm(mV)
           0   0.00000000       0.00000000    
           1   1.00000000       0.00000000    
           2   2.00000000       0.00000000    
           3   3.00000000       0.00000000    
           4   4.00000000       0.00000000    
           5   5.00000000       0.00000000    
           6   6.00000000       2.00000000    
           7   7.00000000       3.90000010    
           8   8.00000000       5.70499992    
           9   9.00000000       7.41975021    
          10   10.0000000       9.04876232    
          11   11.0000000       10.5963240    
          12   12.0000000       12.0665073    
          13   13.0000000       13.4631824    
          14   14.0000000       14.7900238    
          15   15.0000000       16.0505219    
          16   16.0000000       17.2479954    
          17   17.0000000       18.3855953    
          18   18.0000000       19.4663162    
          19   19.0000000       20.4930000    
          20   20.0000000       21.4683495    
          21   21.0000000       22.3949318    
          22   22.0000000       23.2751846    
          23   23.0000000       24.1114254    
          24   24.0000000       24.9058533    
          25   25.0000000       25.6605606    
          26   26.0000000       26.3775330    
          27   27.0000000       27.0586567    
          28   28.0000000       27.7057247    
          29   29.0000000       28.3204384    
          30   30.0000000       28.9044170    
          31   31.0000000       29.4591961    
          32   32.0000000       29.9862366    
          33   33.0000000       30.4869251    
          34   34.0000000       30.9625797    
          35   35.0000000       31.4144516    
          36   36.0000000       31.8437290    
          37   37.0000000       32.2515411    
          38   38.0000000       32.6389656    
          39   39.0000000       33.0070190    
          40   40.0000000       33.3566666    
          41   41.0000000       33.6888351    
          42   42.0000000       34.0043945    
          43   43.0000000       34.3041763    
          44   44.0000000       34.5889664    
          45   45.0000000       34.8595200    
          46   46.0000000       35.1165428    
          47   47.0000000       35.3607140    
          48   48.0000000       35.5926781    
          49   49.0000000       35.8130455    
          50   50.0000000       36.0223923    
          51   51.0000000       34.2212715    
          52   52.0000000       32.5102081    
          53   53.0000000       30.8846970    
          54   54.0000000       29.3404617    
          55   55.0000000       27.8734379    
          56   56.0000000       26.4797668    
          57   57.0000000       25.1557789    
          58   58.0000000       23.8979893    
          59   59.0000000       22.7030907    
          60   60.0000000       21.5679359    
          61   61.0000000       20.4895401    
          62   62.0000000       19.4650631    
          63   63.0000000       18.4918098    
          64   64.0000000       17.5672188    
          65   65.0000000       16.6888580    
          66   66.0000000       15.8544149    
          67   67.0000000       15.0616941    
          68   68.0000000       14.3086090    
          69   69.0000000       13.5931787    
          70   70.0000000       12.9135199    
          71   71.0000000       12.2678442    
          72   72.0000000       11.6544523    
          73   73.0000000       11.0717297    
          74   74.0000000       10.5181427    
          75   75.0000000       9.99223518    
          76   76.0000000       9.49262333    
          77   77.0000000       9.01799202    
          78   78.0000000       8.56709290    
          79   79.0000000       8.13873863    
