   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
          79   8.00000038E-04   1.51993183E-03   1.51920191E-03  -4.80465475E-04
          80   8.10000056E-04   1.53841195E-03   1.53767341E-03  -4.80296265E-04
          81   8.20000074E-04   1.55687355E-03   1.55612582E-03  -4.80511022E-04
          82   8.30000034E-04   1.57531665E-03   1.57456158E-03  -4.79542854E-04
          83   8.40000052E-04   1.59374136E-03   1.59297697E-03  -4.79845621E-04
          84   8.50000069E-04   1.61214767E-03   1.61137455E-03  -4.79785493E-04
          85   8.60000029E-04   1.63053547E-03   1.62975432E-03  -4.79303417E-04
          86   8.70000047E-04   1.64890499E-03   1.64811488E-03  -4.79402748E-04
          87   8.80000065E-04   1.66725612E-03   1.66645763E-03  -4.79155715E-04
          88   8.90000083E-04   1.68558885E-03   1.68478244E-03  -4.78642760E-04
          89   9.00000043E-04   1.70390331E-03   1.70308829E-03  -4.78556321E-04
          90   9.10000061E-04   1.72219938E-03   1.72137609E-03  -4.78273840E-04
          91   9.20000079E-04   1.74047716E-03   1.73964619E-03  -4.77667578E-04
          92   9.30000038E-04   1.75873667E-03   1.75789709E-03  -4.77608904E-04
          93   9.40000056E-04   1.77697791E-03   1.77613017E-03  -4.77294059E-04
          94   9.50000074E-04   1.79520098E-03   1.79434533E-03  -4.76860616E-04
          95   9.60000092E-04   1.81340578E-03   1.81254139E-03  -4.76890506E-04
          96   9.70000052E-04   1.83159241E-03   1.83071964E-03  -4.76733665E-04
          97   9.80000012E-04   1.84976077E-03   1.84887997E-03  -4.76395624E-04
          98   9.90000088E-04   1.86791096E-03   1.86702248E-03  -4.75881650E-04
          99   1.00000005E-03   1.88604300E-03   1.88514590E-03  -4.75876412E-04
         100   1.01000012E-03   1.90415699E-03   1.90325140E-03  -4.75814595E-04
         101   1.02000008E-03   1.92225282E-03   1.92133896E-03  -4.75637207E-04
         102   1.03000004E-03   1.94033061E-03   1.93940871E-03  -4.75347420E-04
         103   1.04000012E-03   1.95839023E-03   1.95746054E-03  -4.74948407E-04
         104   1.05000008E-03   1.97643181E-03   1.97549467E-03  -4.74384142E-04
         105   1.06000004E-03   1.99445547E-03   1.99350948E-03  -4.74535453E-04
         106   1.07000011E-03   2.01246096E-03   2.01150659E-03  -4.74456727E-04
         107   1.08000007E-03   2.03044852E-03   2.02948693E-03  -4.73809690E-04
         108   1.09000003E-03   2.04841816E-03   2.04744819E-03  -4.73747001E-04
         109   1.10000011E-03   2.06636963E-03   2.06539151E-03  -4.73576802E-04
