   it     t(ms)         Vm(mV)
           0   0.00000000       0.00000000    
           1   1.00000000       0.00000000    
           2   2.00000000       0.00000000    
           3   3.00000000       0.00000000    
           4   4.00000000       0.00000000    
           5   5.00000000       0.00000000    
           6   6.00000000       2.00000000    
           7   7.00000000       3.98000002    
           8   8.00000000       5.94019985    
           9   9.00000000       7.88079786    
          10   10.0000000       9.80198956    
          11   11.0000000       11.7039700    
          12   12.0000000       13.5869303    
          13   13.0000000       15.4510612    
          14   14.0000000       17.2965508    
          15   15.0000000       19.1235847    
          16   16.0000000       20.9323483    
          17   17.0000000       22.7230244    
          18   18.0000000       24.4957943    
          19   19.0000000       26.2508354    
          20   20.0000000       27.9883270    
          21   21.0000000       29.7084446    
          22   22.0000000       31.4113598    
          23   23.0000000       33.0972443    
          24   24.0000000       34.7662735    
          25   25.0000000       36.4186096    
          26   26.0000000       38.0544243    
          27   27.0000000       39.6738815    
          28   28.0000000       41.2771416    
          29   29.0000000       42.8643684    
          30   30.0000000       44.4357262    
          31   31.0000000       45.9913673    
          32   32.0000000       47.5314522    
          33   33.0000000       49.0561371    
          34   34.0000000       50.5655746    
          35   35.0000000       52.0599174    
          36   36.0000000       53.5393181    
          37   37.0000000       55.0039253    
          38   38.0000000       56.4538879    
          39   39.0000000       57.8893509    
          40   40.0000000       59.3104591    
          41   41.0000000       60.7173538    
          42   42.0000000       62.1101799    
          43   43.0000000       63.4890785    
          44   44.0000000       64.8541870    
          45   45.0000000       66.2056427    
          46   46.0000000       67.5435867    
          47   47.0000000       68.8681488    
          48   48.0000000       70.1794662    
          49   49.0000000       71.4776688    
          50   50.0000000       72.7628937    
          51   51.0000000       72.0352631    
          52   52.0000000       71.3149109    
          53   53.0000000       70.6017609    
          54   54.0000000       69.8957443    
          55   55.0000000       69.1967850    
          56   56.0000000       68.5048141    
          57   57.0000000       67.8197632    
          58   58.0000000       67.1415634    
          59   59.0000000       66.4701462    
          60   60.0000000       65.8054428    
          61   61.0000000       65.1473846    
          62   62.0000000       64.4959106    
          63   63.0000000       63.8509521    
          64   64.0000000       63.2124443    
          65   65.0000000       62.5803185    
          66   66.0000000       61.9545135    
          67   67.0000000       61.3349686    
          68   68.0000000       60.7216187    
          69   69.0000000       60.1144028    
          70   70.0000000       59.5132599    
          71   71.0000000       58.9181290    
          72   72.0000000       58.3289490    
          73   73.0000000       57.7456589    
          74   74.0000000       57.1682014    
          75   75.0000000       56.5965195    
          76   76.0000000       56.0305557    
          77   77.0000000       55.4702492    
          78   78.0000000       54.9155464    
          79   79.0000000       54.3663902    
