   it     t(ms)         Vm(mV)
           0   0.00000000       0.00000000    
           1   1.00000000       0.00000000    
           2   2.00000000       0.00000000    
           3   3.00000000       0.00000000    
           4   4.00000000       0.00000000    
           5   5.00000000       0.00000000    
           6   6.00000000       2.00000000    
           7   7.00000000       3.59999990    
           8   8.00000000       4.88000011    
           9   9.00000000       5.90400028    
          10   10.0000000       6.72320032    
          11   11.0000000       7.37856007    
          12   12.0000000       7.90284824    
          13   13.0000000       8.32227898    
          14   14.0000000       8.65782356    
          15   15.0000000       8.92625904    
          16   16.0000000       9.14100742    
          17   17.0000000       9.31280613    
          18   18.0000000       9.45024490    
          19   19.0000000       9.56019592    
          20   20.0000000       9.64815712    
          21   21.0000000       9.71852589    
          22   22.0000000       9.77482033    
          23   23.0000000       9.81985664    
          24   24.0000000       9.85588551    
          25   25.0000000       9.88470840    
          26   26.0000000       9.90776634    
          27   27.0000000       9.92621326    
          28   28.0000000       9.94097042    
          29   29.0000000       9.95277596    
          30   30.0000000       9.96222115    
          31   31.0000000       9.96977711    
          32   32.0000000       9.97582150    
          33   33.0000000       9.98065758    
          34   34.0000000       9.98452568    
          35   35.0000000       9.98762035    
          36   36.0000000       9.99009609    
          37   37.0000000       9.99207687    
          38   38.0000000       9.99366188    
          39   39.0000000       9.99492931    
          40   40.0000000       9.99594307    
          41   41.0000000       9.99675465    
          42   42.0000000       9.99740410    
          43   43.0000000       9.99792290    
          44   44.0000000       9.99833870    
          45   45.0000000       9.99867058    
          46   46.0000000       9.99893665    
          47   47.0000000       9.99914932    
          48   48.0000000       9.99931908    
          49   49.0000000       9.99945545    
          50   50.0000000       9.99956417    
          51   51.0000000       7.99965143    
          52   52.0000000       6.39972115    
          53   53.0000000       5.11977673    
          54   54.0000000       4.09582138    
          55   55.0000000       3.27665710    
          56   56.0000000       2.62132573    
          57   57.0000000       2.09706068    
          58   58.0000000       1.67764854    
          59   59.0000000       1.34211886    
          60   60.0000000       1.07369506    
          61   61.0000000      0.858956039    
          62   62.0000000      0.687164843    
          63   63.0000000      0.549731851    
          64   64.0000000      0.439785480    
          65   65.0000000      0.351828396    
          66   66.0000000      0.281462729    
          67   67.0000000      0.225170180    
          68   68.0000000      0.180136144    
          69   69.0000000      0.144108921    
          70   70.0000000      0.115287140    
          71   71.0000000       9.22297090E-02
          72   72.0000000       7.37837702E-02
          73   73.0000000       5.90270162E-02
          74   74.0000000       4.72216122E-02
          75   75.0000000       3.77772897E-02
          76   76.0000000       3.02218311E-02
          77   77.0000000       2.41774656E-02
          78   78.0000000       1.93419717E-02
          79   79.0000000       1.54735772E-02
