   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
         192   3.86000029E-04   7.53515225E-04   7.53440836E-04  -9.87328895E-05
         193   3.88000044E-04   7.57364498E-04   7.57290109E-04  -9.82310376E-05
         194   3.90000030E-04   7.61213014E-04   7.61138159E-04  -9.83462087E-05
         195   3.92000045E-04   7.65060773E-04   7.64986267E-04  -9.73949573E-05
         196   3.94000032E-04   7.68907776E-04   7.68831931E-04  -9.86491068E-05
         197   3.96000047E-04   7.72754021E-04   7.72678817E-04  -9.73293136E-05
         198   3.98000033E-04   7.76599452E-04   7.76523317E-04  -9.80467958E-05
         199   4.00000048E-04   7.80444127E-04   7.80367816E-04  -9.77875316E-05
         200   4.02000034E-04   7.84288044E-04   7.84211152E-04  -9.80505283E-05
         201   4.04000049E-04   7.88131205E-04   7.88054429E-04  -9.74246213E-05
         202   4.06000036E-04   7.91973551E-04   7.91896542E-04  -9.72459529E-05
         203   4.08000051E-04   7.95815140E-04   7.95737491E-04  -9.75812000E-05
         204   4.10000037E-04   7.99655973E-04   7.99577218E-04  -9.84957587E-05
         205   4.12000052E-04   8.03496048E-04   8.03416944E-04  -9.84597282E-05
         206   4.14000038E-04   8.07335367E-04   8.07256671E-04  -9.74866634E-05
         207   4.16000054E-04   8.11173930E-04   8.11094011E-04  -9.85324950E-05
         208   4.18000040E-04   8.15011677E-04   8.14932573E-04  -9.70684123E-05
         209   4.20000055E-04   8.18848668E-04   8.18768749E-04  -9.76088995E-05
         210   4.22000041E-04   8.22684902E-04   8.22604867E-04  -9.72952330E-05
         211   4.24000056E-04   8.26520380E-04   8.26439820E-04  -9.74776412E-05
         212   4.26000042E-04   8.30355100E-04   8.30273610E-04  -9.81492412E-05
         213   4.28000058E-04   8.34189006E-04   8.34107399E-04  -9.78376920E-05
         214   4.30000044E-04   8.38022155E-04   8.37939966E-04  -9.80848490E-05
         215   4.32000059E-04   8.41854548E-04   8.41772533E-04  -9.74308277E-05
         216   4.34000045E-04   8.45686183E-04   8.45603936E-04  -9.72647103E-05
         217   4.36000060E-04   8.49517062E-04   8.49434116E-04  -9.76484371E-05
         218   4.38000046E-04   8.53347185E-04   8.53264297E-04  -9.71418922E-05
         219   4.40000062E-04   8.57176492E-04   8.57092149E-04  -9.84058715E-05
         220   4.42000048E-04   8.61005043E-04   8.60921107E-04  -9.74949362E-05
         221   4.44000063E-04   8.64832837E-04   8.64748959E-04  -9.69960602E-05
         222   4.46000049E-04   8.68659874E-04   8.68575531E-04  -9.71048576E-05
         223   4.48000035E-04   8.72486155E-04   8.72400997E-04  -9.76131487E-05
         224   4.50000050E-04   8.76311678E-04   8.76226404E-04  -9.73198476E-05
         225   4.52000037E-04   8.80136387E-04   8.80050648E-04  -9.74260765E-05
         226   4.54000052E-04   8.83960340E-04   8.83873668E-04  -9.80583645E-05
         227   4.56000038E-04   8.87783535E-04   8.87696748E-04  -9.77671953E-05
         228   4.58000053E-04   8.91605974E-04   8.91518546E-04  -9.80662808E-05
         229   4.60000039E-04   8.95427656E-04   8.95340403E-04  -9.74526411E-05
         230   4.62000055E-04   8.99248582E-04   8.99161096E-04  -9.72974885E-05
         231   4.64000041E-04   9.03068751E-04   9.02980566E-04  -9.76594747E-05
         232   4.66000056E-04   9.06888163E-04   9.06800036E-04  -9.71839399E-05
         233   4.68000042E-04   9.10706760E-04   9.10618284E-04  -9.71599729E-05
         234   4.70000057E-04   9.14524600E-04   9.14435368E-04  -9.75819057E-05
         235   4.72000043E-04   9.18341684E-04   9.18252452E-04  -9.71762638E-05
         236   4.74000059E-04   9.22158011E-04   9.22068313E-04  -9.72791313E-05
         237   4.76000045E-04   9.25973582E-04   9.25883010E-04  -9.78213429E-05
         238   4.78000060E-04   9.29788395E-04   9.29697708E-04  -9.75451840E-05
         239   4.80000046E-04   9.33602452E-04   9.33511241E-04  -9.77078817E-05
         240   4.82000061E-04   9.37415753E-04   9.37324716E-04  -9.71240588E-05
         241   4.84000047E-04   9.41228296E-04   9.41137027E-04  -9.69780303E-05
         242   4.86000063E-04   9.45040025E-04   9.44948173E-04  -9.72028865E-05
         243   4.88000049E-04   9.48850997E-04   9.48758097E-04  -9.79168763E-05
         244   4.90000064E-04   9.52661212E-04   9.52568022E-04  -9.78307726E-05
         245   4.92000079E-04   9.56470671E-04   9.56377946E-04  -9.69541434E-05
         246   4.94000036E-04   9.60279373E-04   9.60185484E-04  -9.77821037E-05
         247   4.96000051E-04   9.64087318E-04   9.63993079E-04  -9.77581731E-05
         248   4.98000067E-04   9.67894506E-04   9.67800617E-04  -9.70127076E-05
         249   5.00000082E-04   9.71700938E-04   9.71605768E-04  -9.79507604E-05
         250   5.02000039E-04   9.75506613E-04   9.75412084E-04  -9.69121102E-05
         251   5.04000054E-04   9.79311531E-04   9.79216071E-04  -9.74867216E-05
         252   5.06000069E-04   9.83115635E-04   9.83020058E-04  -9.72279013E-05
         253   5.08000085E-04   9.86919040E-04   9.86822764E-04  -9.75610528E-05
         254   5.10000042E-04   9.90721630E-04   9.90625587E-04  -9.69515022E-05
         255   5.12000057E-04   9.94523522E-04   9.94427130E-04  -9.69320754E-05
         256   5.14000072E-04   9.98324598E-04   9.98227624E-04  -9.71461413E-05
         257   5.16000029E-04   1.00212498E-03   1.00202800E-03  -9.67776941E-05
         258   5.18000044E-04   1.00592454E-03   1.00582722E-03  -9.67593733E-05
         259   5.20000060E-04   1.00972340E-03   1.00962515E-03  -9.73178321E-05
         260   5.22000075E-04   1.01352145E-03   1.01342320E-03  -9.69531102E-05
         261   5.24000032E-04   1.01731881E-03   1.01721997E-03  -9.71634581E-05
         262   5.26000047E-04   1.02111534E-03   1.02101557E-03  -9.77144082E-05
         263   5.28000062E-04   1.02491106E-03   1.02481130E-03  -9.73524875E-05
         264   5.30000078E-04   1.02870609E-03   1.02860562E-03  -9.76724405E-05
         265   5.32000035E-04   1.03250029E-03   1.03240006E-03  -9.70879337E-05
         266   5.34000050E-04   1.03629380E-03   1.03619334E-03  -9.69572138E-05
         267   5.36000065E-04   1.04008650E-03   1.03998545E-03  -9.71633781E-05
         268   5.38000080E-04   1.04387850E-03   1.04377745E-03  -9.68103850E-05
         269   5.40000037E-04   1.04766968E-03   1.04756828E-03  -9.67934466E-05
         270   5.42000053E-04   1.05146016E-03   1.05135795E-03  -9.72196503E-05
         271   5.44000068E-04   1.05524983E-03   1.05514762E-03  -9.68704771E-05
         272   5.46000083E-04   1.05903880E-03   1.05893612E-03  -9.69636530E-05
         273   5.48000040E-04   1.06282695E-03   1.06272334E-03  -9.74944560E-05
         274   5.50000055E-04   1.06661441E-03   1.06651068E-03  -9.72573980E-05
         275   5.52000070E-04   1.07040105E-03   1.07029674E-03  -9.74572031E-05
         276   5.54000086E-04   1.07418699E-03   1.07408280E-03  -9.70052861E-05
         277   5.56000043E-04   1.07797212E-03   1.07786770E-03  -9.68806708E-05
         278   5.58000058E-04   1.08175655E-03   1.08165143E-03  -9.71875343E-05
         279   5.60000073E-04   1.08554016E-03   1.08543516E-03  -9.67414962E-05
         280   5.62000088E-04   1.08932308E-03   1.08921761E-03  -9.68330642E-05
         281   5.64000045E-04   1.09310518E-03   1.09299901E-03  -9.71371192E-05
         282   5.66000061E-04   1.09688658E-03   1.09678030E-03  -9.69083703E-05
         283   5.68000076E-04   1.10066717E-03   1.10056042E-03  -9.69986286E-05
         284   5.70000091E-04   1.10444706E-03   1.10434054E-03  -9.64557694E-05
         285   5.72000048E-04   1.10822613E-03   1.10811822E-03  -9.73876304E-05
         286   5.74000063E-04   1.11200451E-03   1.11189717E-03  -9.65331419E-05
         287   5.76000079E-04   1.11578207E-03   1.11567380E-03  -9.70411347E-05
         288   5.78000036E-04   1.11955893E-03   1.11945032E-03  -9.70257388E-05
         289   5.80000051E-04   1.12333498E-03   1.12322567E-03  -9.73214846E-05
         290   5.82000066E-04   1.12711033E-03   1.12700101E-03  -9.69954635E-05
         291   5.84000081E-04   1.13088486E-03   1.13077520E-03  -9.69805769E-05
         292   5.86000038E-04   1.13465870E-03   1.13454938E-03  -9.63501370E-05
         293   5.88000054E-04   1.13843172E-03   1.13832112E-03  -9.71558475E-05
         294   5.90000069E-04   1.14220404E-03   1.14209414E-03  -9.62232953E-05
         295   5.92000084E-04   1.14597555E-03   1.14586472E-03  -9.67194355E-05
         296   5.94000041E-04   1.14974636E-03   1.14963530E-03  -9.66047373E-05
         297   5.96000056E-04   1.15351635E-03   1.15340471E-03  -9.67936867E-05
         298   5.98000071E-04   1.15728565E-03   1.15717412E-03  -9.63777857E-05
         299   6.00000087E-04   1.16105424E-03   1.16094225E-03  -9.64660721E-05
         300   6.02000044E-04   1.16482202E-03   1.16470933E-03  -9.67537781E-05
         301   6.04000059E-04   1.16858911E-03   1.16847630E-03  -9.65414947E-05
         302   6.06000074E-04   1.17235538E-03   1.17224210E-03  -9.66285952E-05
         303   6.08000089E-04   1.17612095E-03   1.17600674E-03  -9.71112022E-05
         304   6.10000046E-04   1.17988570E-03   1.17977138E-03  -9.68999957E-05
         305   6.12000062E-04   1.18364976E-03   1.18353486E-03  -9.70836845E-05
         306   6.14000077E-04   1.18741300E-03   1.18729821E-03  -9.66779044E-05
         307   6.16000092E-04   1.19117554E-03   1.19106052E-03  -9.65680010E-05
         308   6.18000049E-04   1.19493727E-03   1.19482155E-03  -9.68486274E-05
         309   6.20000064E-04   1.19869830E-03   1.19858258E-03  -9.65447252E-05
         310   6.22000080E-04   1.20245852E-03   1.20234245E-03  -9.65332947E-05
         311   6.24000095E-04   1.20621803E-03   1.20610115E-03  -9.69081084E-05
         312   6.26000052E-04   1.20997673E-03   1.20985985E-03  -9.66070438E-05
         313   6.28000067E-04   1.21373474E-03   1.21361727E-03  -9.67875676E-05
         314   6.30000082E-04   1.21749204E-03   1.21737481E-03  -9.62975610E-05
         315   6.32000098E-04   1.22124853E-03   1.22113107E-03  -9.61920159E-05
         316   6.34000055E-04   1.22500432E-03   1.22488616E-03  -9.64673745E-05
         317   6.36000070E-04   1.22875930E-03   1.22864125E-03  -9.60777907E-05
         318   6.38000085E-04   1.23251358E-03   1.23239518E-03  -9.60685211E-05
         319   6.40000100E-04   1.23626704E-03   1.23614783E-03  -9.64361097E-05
         320   6.42000057E-04   1.24001980E-03   1.23990059E-03  -9.61442347E-05
         321   6.44000072E-04   1.24377175E-03   1.24365208E-03  -9.62286431E-05
         322   6.46000088E-04   1.24752300E-03   1.24740240E-03  -9.66859370E-05
         323   6.48000045E-04   1.25127356E-03   1.25115272E-03  -9.65822182E-05
         324   6.50000060E-04   1.25502329E-03   1.25490187E-03  -9.67575106E-05
         325   6.52000075E-04   1.25877233E-03   1.25865103E-03  -9.63768034E-05
         326   6.54000090E-04   1.26252056E-03   1.26239890E-03  -9.63673301E-05
         327   6.56000047E-04   1.26626808E-03   1.26614573E-03  -9.66338266E-05
         328   6.58000063E-04   1.27001479E-03   1.26989244E-03  -9.63487109E-05
         329   6.60000078E-04   1.27376080E-03   1.27363799E-03  -9.64309875E-05
         330   6.62000093E-04   1.27750600E-03   1.27738237E-03  -9.67862652E-05
         331   6.64000050E-04   1.28125050E-03   1.28112675E-03  -9.65942600E-05
         332   6.66000065E-04   1.28499430E-03   1.28486985E-03  -9.68564855E-05
         333   6.68000081E-04   1.28873729E-03   1.28861307E-03  -9.63944476E-05
         334   6.70000096E-04   1.29247957E-03   1.29235501E-03  -9.63855855E-05
         335   6.72000053E-04   1.29622105E-03   1.29609578E-03  -9.66463194E-05
         336   6.74000068E-04   1.29996182E-03   1.29983656E-03  -9.63681814E-05
         337   6.76000083E-04   1.30370178E-03   1.30357617E-03  -9.63596394E-05
         338   6.78000099E-04   1.30744104E-03   1.30731461E-03  -9.67074302E-05
         339   6.80000056E-04   1.31117960E-03   1.31105306E-03  -9.65204672E-05
         340   6.82000071E-04   1.31491735E-03   1.31479022E-03  -9.66888329E-05
         341   6.84000086E-04   1.31865439E-03   1.31852739E-03  -9.63264902E-05
         342   6.86000101E-04   1.32239063E-03   1.32226350E-03  -9.61423575E-05
         343   6.88000058E-04   1.32612616E-03   1.32599822E-03  -9.64861320E-05
         344   6.90000074E-04   1.32986088E-03   1.32973306E-03  -9.61275800E-05
         345   6.92000089E-04   1.33359490E-03   1.33346673E-03  -9.61203332E-05
         346   6.94000104E-04   1.33732823E-03   1.33719924E-03  -9.64614519E-05
         347   6.96000061E-04   1.34106074E-03   1.34093163E-03  -9.62797712E-05
