   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
           0   2.00000022E-06   0.00000000       0.00000000       0.00000000    
           1   4.00000044E-06   4.00000044E-06   3.99947157E-06  -1.32235262E-04
           2   6.00000067E-06   7.99920053E-06   7.99894315E-06  -3.21776242E-05
           3   8.00000089E-06   1.19976012E-05   1.19960305E-05  -1.30934757E-04
           4   1.00000016E-05   1.59952015E-05   1.59931187E-05  -1.30227432E-04
           5   1.20000013E-05   1.99920032E-05   1.99902061E-05  -8.99021034E-05
           6   1.40000011E-05   2.39880064E-05   2.39861001E-05  -7.94752341E-05
           7   1.60000018E-05   2.79832093E-05   2.79808046E-05  -8.59412030E-05
           8   1.80000025E-05   3.19776118E-05   3.19743158E-05  -1.03083010E-04
           9   2.00000031E-05   3.59712176E-05   3.59678270E-05  -9.42674742E-05
          10   2.20000020E-05   3.99640230E-05   3.99601449E-05  -9.70488327E-05
          11   2.40000027E-05   4.39560317E-05   4.39512733E-05  -1.08267086E-04
          12   2.60000033E-05   4.79472401E-05   4.79423979E-05  -1.00999321E-04
          13   2.80000022E-05   5.19376517E-05   5.19323330E-05  -1.02416445E-04
          14   3.00000029E-05   5.59272667E-05   5.59222681E-05  -8.93844772E-05
          15   3.20000036E-05   5.99160812E-05   5.99098203E-05  -1.04506435E-04
          16   3.40000042E-05   6.39040954E-05   6.38973725E-05  -1.05215360E-04
          17   3.60000049E-05   6.78913129E-05   6.78849174E-05  -9.42118932E-05
          18   3.80000056E-05   7.18777374E-05   7.18700903E-05  -1.06400752E-04
          19   4.00000063E-05   7.58633614E-05   7.58552560E-05  -1.06853724E-04
          20   4.20000033E-05   7.98481924E-05   7.98404217E-05  -9.73281785E-05
          21   4.40000040E-05   8.38322230E-05   8.38243941E-05  -9.33968040E-05
          22   4.60000047E-05   8.78154533E-05   8.78071733E-05  -9.42979896E-05
          23   4.80000053E-05   9.17978905E-05   9.17887664E-05  -9.94026996E-05
          24   5.00000060E-05   9.57795346E-05   9.57703596E-05  -9.58019009E-05
          25   5.20000067E-05   9.97603784E-05   9.97507523E-05  -9.65014478E-05
          26   5.40000074E-05   1.03740429E-04   1.03729959E-04  -1.00936151E-04
          27   5.60000044E-05   1.07719679E-04   1.07709166E-04  -9.76124793E-05
          28   5.80000051E-05   1.11698137E-04   1.11687179E-04  -9.81096673E-05
          29   6.00000058E-05   1.15675801E-04   1.15663999E-04  -1.02033504E-04
          30   6.20000064E-05   1.19652665E-04   1.19640827E-04  -9.89460168E-05
          31   6.40000071E-05   1.23628735E-04   1.23616453E-04  -9.93542199E-05
          32   6.60000078E-05   1.27604013E-04   1.27590887E-04  -1.02874335E-04
          33   6.80000085E-05   1.31578490E-04   1.31565335E-04  -9.99878248E-05
          34   7.00000091E-05   1.35552182E-04   1.35538576E-04  -1.00385005E-04
          35   7.20000098E-05   1.39525073E-04   1.39510623E-04  -1.03576713E-04
          36   7.40000105E-05   1.43497164E-04   1.43482685E-04  -1.00912213E-04
          37   7.60000112E-05   1.47468469E-04   1.47453538E-04  -1.01254031E-04
          38   7.80000119E-05   1.51438973E-04   1.51424407E-04  -9.61962942E-05
          39   8.00000125E-05   1.55408692E-04   1.55392889E-04  -1.01699508E-04
          40   8.20000059E-05   1.59377611E-04   1.59361356E-04  -1.01997684E-04
          41   8.40000066E-05   1.63345729E-04   1.63329838E-04  -9.72920316E-05
          42   8.60000073E-05   1.67313061E-04   1.67295933E-04  -1.02379083E-04
          43   8.80000080E-05   1.71279593E-04   1.71262029E-04  -1.02557242E-04
          44   9.00000086E-05   1.75245339E-04   1.75228110E-04  -9.83259379E-05
          45   9.20000093E-05   1.79210285E-04   1.79193012E-04  -9.63939601E-05
          46   9.40000100E-05   1.83174445E-04   1.83156721E-04  -9.67708547E-05
          47   9.60000107E-05   1.87137804E-04   1.87119236E-04  -9.92321511E-05
          48   9.80000113E-05   1.91100378E-04   1.91081752E-04  -9.74789655E-05
          49   1.00000012E-04   1.95062152E-04   1.95043089E-04  -9.77374220E-05
          50   1.02000013E-04   1.99023139E-04   1.99003218E-04  -1.00106779E-04
          51   1.04000013E-04   2.02983341E-04   2.02963347E-04  -9.85120278E-05
          52   1.06000014E-04   2.06942743E-04   2.06922283E-04  -9.88776665E-05
          53   1.08000015E-04   2.10901359E-04   2.10880040E-04  -1.01093283E-04
          54   1.10000015E-04   2.14859174E-04   2.14837783E-04  -9.95696173E-05
          55   1.12000009E-04   2.18816203E-04   2.18794346E-04  -9.98973555E-05
          56   1.14000009E-04   2.22772447E-04   2.22749703E-04  -1.02108526E-04
          57   1.16000010E-04   2.26727891E-04   2.26705073E-04  -1.00647958E-04
          58   1.18000011E-04   2.30682548E-04   2.30659236E-04  -1.01067570E-04
          59   1.20000012E-04   2.34636405E-04   2.34613413E-04  -9.79996257E-05
          60   1.22000012E-04   2.38589477E-04   2.38565204E-04  -1.01744066E-04
          61   1.24000013E-04   2.42541762E-04   2.42518188E-04  -9.72055059E-05
          62   1.26000014E-04   2.46493262E-04   2.46468786E-04  -9.93079957E-05
          63   1.28000014E-04   2.50443962E-04   2.50419369E-04  -9.82062120E-05
          64   1.30000015E-04   2.54393875E-04   2.54368788E-04  -9.86264931E-05
          65   1.32000016E-04   2.58343003E-04   2.58316984E-04  -1.00724406E-04
          66   1.34000016E-04   2.62291345E-04   2.62265210E-04  -9.96519520E-05
          67   1.36000017E-04   2.66238902E-04   2.66212213E-04  -1.00251644E-04
          68   1.38000018E-04   2.70185643E-04   2.70159246E-04  -9.77096861E-05
          69   1.40000018E-04   2.74131598E-04   2.74103862E-04  -1.01187739E-04
          70   1.42000019E-04   2.78076768E-04   2.78049702E-04  -9.73443312E-05
          71   1.44000020E-04   2.82021152E-04   2.81993154E-04  -9.92856876E-05
          72   1.46000020E-04   2.85964750E-04   2.85936578E-04  -9.85271181E-05
          73   1.48000021E-04   2.89907563E-04   2.89878837E-04  -9.90947810E-05
          74   1.50000022E-04   2.93849589E-04   2.93819903E-04  -1.01034362E-04
          75   1.52000022E-04   2.97790830E-04   2.97760969E-04  -1.00283563E-04
          76   1.54000023E-04   3.01731285E-04   3.01700813E-04  -1.00999765E-04
          77   1.56000024E-04   3.05670925E-04   3.05640686E-04  -9.89360415E-05
          78   1.58000024E-04   3.09609779E-04   3.09579365E-04  -9.82413767E-05
          79   1.60000025E-04   3.13547847E-04   3.13516852E-04  -9.88641550E-05
          80   1.62000011E-04   3.17485130E-04   3.17453145E-04  -1.00755373E-04
          81   1.64000012E-04   3.21421627E-04   3.21389438E-04  -1.00155237E-04
          82   1.66000013E-04   3.25357338E-04   3.25324538E-04  -1.00822450E-04
          83   1.68000013E-04   3.29292263E-04   3.29259638E-04  -9.90871340E-05
          84   1.70000014E-04   3.33226402E-04   3.33193544E-04  -9.86160303E-05
          85   1.72000015E-04   3.37159756E-04   3.37126257E-04  -9.93648791E-05
          86   1.74000015E-04   3.41092324E-04   3.41058971E-04  -9.77924428E-05
          87   1.76000016E-04   3.45024106E-04   3.44990491E-04  -9.74372451E-05
          88   1.78000017E-04   3.48955102E-04   3.48920817E-04  -9.82581478E-05
          89   1.80000017E-04   3.52885312E-04   3.52849951E-04  -1.00215839E-04
          90   1.82000018E-04   3.56814737E-04   3.56779085E-04  -9.99279218E-05
          91   1.84000019E-04   3.60743375E-04   3.60708218E-04  -9.74677750E-05
          92   1.86000019E-04   3.64671228E-04   3.64634994E-04  -9.93713402E-05
          93   1.88000020E-04   3.68598296E-04   3.68561741E-04  -9.91812412E-05
          94   1.90000021E-04   3.72524577E-04   3.72487295E-04  -1.00089339E-04
          95   1.92000021E-04   3.76450073E-04   3.76412849E-04  -9.88908869E-05
          96   1.94000022E-04   3.80374782E-04   3.80337238E-04  -9.87122403E-05
          97   1.96000023E-04   3.84298706E-04   3.84260406E-04  -9.96736562E-05
          98   1.98000023E-04   3.88221844E-04   3.88183573E-04  -9.85913357E-05
          99   2.00000024E-04   3.92144197E-04   3.92105576E-04  -9.84958751E-05
         100   2.02000025E-04   3.96065763E-04   3.96026357E-04  -9.95049559E-05
         101   2.04000025E-04   3.99986544E-04   3.99947166E-04  -9.84567087E-05
         102   2.06000026E-04   4.03906539E-04   4.03866754E-04  -9.85100560E-05
         103   2.08000027E-04   4.07825748E-04   4.07785177E-04  -9.94904694E-05
         104   2.10000027E-04   4.11744171E-04   4.11703571E-04  -9.86142622E-05
         105   2.12000028E-04   4.15661809E-04   4.15620802E-04  -9.86651721E-05
         106   2.14000029E-04   4.19578690E-04   4.19536809E-04  -9.98253599E-05
         107   2.16000029E-04   4.23494785E-04   4.23452846E-04  -9.90396438E-05
         108   2.18000030E-04   4.27410094E-04   4.27367690E-04  -9.92220084E-05
         109   2.20000031E-04   4.31324617E-04   4.31282504E-04  -9.76465381E-05
         110   2.22000031E-04   4.35238355E-04   4.35194961E-04  -9.97112002E-05
         111   2.24000018E-04   4.39151307E-04   4.39107418E-04  -9.99495242E-05
         112   2.26000018E-04   4.43063473E-04   4.43019846E-04  -9.84755898E-05
         113   2.28000019E-04   4.46974853E-04   4.46931110E-04  -9.78742755E-05
         114   2.30000020E-04   4.50885447E-04   4.50841180E-04  -9.81874036E-05
         115   2.32000020E-04   4.54795256E-04   4.54750058E-04  -9.93914073E-05
         116   2.34000021E-04   4.58704308E-04   4.58658935E-04  -9.89250766E-05
         117   2.36000022E-04   4.62612574E-04   4.62566590E-04  -9.94106667E-05
         118   2.38000022E-04   4.66520054E-04   4.66474274E-04  -9.81411577E-05
         119   2.40000023E-04   4.70426749E-04   4.70380764E-04  -9.77592135E-05
         120   2.42000024E-04   4.74332657E-04   4.74286062E-04  -9.82428901E-05
         121   2.44000024E-04   4.78237780E-04   4.78190166E-04  -9.95709852E-05
         122   2.46000040E-04   4.82142146E-04   4.82094270E-04  -9.93079666E-05
         123   2.48000026E-04   4.86045727E-04   4.85998375E-04  -9.74322829E-05
         124   2.50000041E-04   4.89948492E-04   4.89900121E-04  -9.87355670E-05
         125   2.52000027E-04   4.93850501E-04   4.93801839E-04  -9.85447987E-05
         126   2.54000042E-04   4.97751753E-04   4.97702335E-04  -9.92928908E-05
         127   2.56000028E-04   5.01652190E-04   5.01602888E-04  -9.82886850E-05
         128   2.58000015E-04   5.05551870E-04   5.05502219E-04  -9.82213969E-05
         129   2.60000030E-04   5.09450736E-04   5.09400328E-04  -9.89552427E-05
         130   2.62000016E-04   5.13348845E-04   5.13298495E-04  -9.80903424E-05
         131   2.64000031E-04   5.17246197E-04   5.17195440E-04  -9.81390695E-05
         132   2.66000017E-04   5.21142734E-04   5.21091220E-04  -9.88575121E-05
         133   2.68000033E-04   5.25038515E-04   5.24986943E-04  -9.82347992E-05
         134   2.70000019E-04   5.28933480E-04   5.28881559E-04  -9.81717603E-05
         135   2.72000034E-04   5.32827689E-04   5.32774895E-04  -9.90931585E-05
         136   2.74000020E-04   5.36721142E-04   5.36668289E-04  -9.84827275E-05
         137   2.76000035E-04   5.40613779E-04   5.40560461E-04  -9.86350642E-05
         138   2.78000021E-04   5.44505659E-04   5.44451468E-04  -9.95338196E-05
         139   2.80000037E-04   5.48396783E-04   5.48342476E-04  -9.90398330E-05
         140   2.82000023E-04   5.52287092E-04   5.52232261E-04  -9.92908608E-05
         141   2.84000038E-04   5.56176645E-04   5.56122046E-04  -9.81777048E-05
         142   2.86000024E-04   5.60065382E-04   5.60010667E-04  -9.77038580E-05
         143   2.88000039E-04   5.63953363E-04   5.63898066E-04  -9.80625409E-05
         144   2.90000025E-04   5.67840587E-04   5.67784300E-04  -9.91341367E-05
         145   2.92000041E-04   5.71726996E-04   5.71670535E-04  -9.87656822E-05
         146   2.94000027E-04   5.75612648E-04   5.75555547E-04  -9.92114728E-05
         147   2.96000042E-04   5.79497544E-04   5.79440559E-04  -9.83453792E-05
         148   2.98000028E-04   5.83381625E-04   5.83324407E-04  -9.80897239E-05
         149   3.00000043E-04   5.87264949E-04   5.87207091E-04  -9.85315346E-05
         150   3.02000029E-04   5.91147516E-04   5.91089716E-04  -9.77858435E-05
         151   3.04000045E-04   5.95029269E-04   5.94971178E-04  -9.76370720E-05
         152   3.06000031E-04   5.98910265E-04   5.98851417E-04  -9.82680212E-05
         153   3.08000046E-04   6.02790504E-04   6.02731714E-04  -9.75388175E-05
         154   3.10000032E-04   6.06669928E-04   6.06610789E-04  -9.74908180E-05
         155   3.12000047E-04   6.10548595E-04   6.10488642E-04  -9.82064012E-05
         156   3.14000034E-04   6.14426506E-04   6.14366494E-04  -9.76812662E-05
         157   3.16000049E-04   6.18303602E-04   6.18243183E-04  -9.77278105E-05
         158   3.18000035E-04   6.22179941E-04   6.22118707E-04  -9.84288999E-05
         159   3.20000050E-04   6.26055524E-04   6.25994173E-04  -9.80055047E-05
         160   3.22000036E-04   6.29930291E-04   6.29868475E-04  -9.81419726E-05
         161   3.24000022E-04   6.33804302E-04   6.33741613E-04  -9.89198888E-05
         162   3.26000038E-04   6.37677556E-04   6.37614692E-04  -9.85928855E-05
         163   3.28000024E-04   6.41549996E-04   6.41486607E-04  -9.88144457E-05
         164   3.30000039E-04   6.45421678E-04   6.45358523E-04  -9.78608150E-05
         165   3.32000025E-04   6.49292604E-04   6.49229274E-04  -9.75463336E-05
         166   3.34000040E-04   6.53162773E-04   6.53098803E-04  -9.79487595E-05
         167   3.36000026E-04   6.57032127E-04   6.56967168E-04  -9.88782267E-05
         168   3.38000042E-04   6.60900725E-04   6.60835474E-04  -9.87398380E-05
         169   3.40000028E-04   6.64768566E-04   6.64703839E-04  -9.73770802E-05
         170   3.42000043E-04   6.68635592E-04   6.68569817E-04  -9.83811333E-05
         171   3.44000029E-04   6.72501861E-04   6.72435737E-04  -9.83349018E-05
         172   3.46000044E-04   6.76367374E-04   6.76300493E-04  -9.88918400E-05
         173   3.48000030E-04   6.80232071E-04   6.80165249E-04  -9.82443526E-05
         174   3.50000046E-04   6.84096012E-04   6.84028841E-04  -9.82000129E-05
         175   3.52000032E-04   6.87959197E-04   6.87891210E-04  -9.88332831E-05
         176   3.54000047E-04   6.91821624E-04   6.91753638E-04  -9.82814454E-05
         177   3.56000033E-04   6.95683237E-04   6.95614784E-04  -9.84053404E-05
         178   3.58000048E-04   6.99544093E-04   6.99475990E-04  -9.73628339E-05
         179   3.60000035E-04   7.03404192E-04   7.03334808E-04  -9.86493615E-05
         180   3.62000050E-04   7.07263534E-04   7.07194791E-04  -9.72055350E-05
         181   3.64000036E-04   7.11122062E-04   7.11052387E-04  -9.79879551E-05
         182   3.66000051E-04   7.14979833E-04   7.14910042E-04  -9.76220545E-05
         183   3.68000037E-04   7.18836847E-04   7.18766416E-04  -9.79890901E-05
         184   3.70000052E-04   7.22693105E-04   7.22622848E-04  -9.72245034E-05
         185   3.72000039E-04   7.26548547E-04   7.26476894E-04  -9.86316736E-05
         186   3.74000054E-04   7.30403233E-04   7.30332104E-04  -9.73937204E-05
         187   3.76000040E-04   7.34257163E-04   7.34184985E-04  -9.83096907E-05
         188   3.78000055E-04   7.38110335E-04   7.38037808E-04  -9.82696874E-05
         189   3.80000041E-04   7.41962693E-04   7.41889467E-04  -9.87010062E-05
         190   3.82000057E-04   7.45814294E-04   7.45741127E-04  -9.81131743E-05
         191   3.84000043E-04   7.49665138E-04   7.49591563E-04  -9.81527628E-05
