 # t  V  n  m  h  a  b  J
    457.57000000    -63.33755683      0.69235350      0.02299611      0.17704397      0.77239592      0.03242198     15.00000000
    457.58000000    -63.52275474      0.69075694      0.02190300      0.18169410      0.77041673      0.03295541     15.00000000
    457.59000000    -63.69516426      0.68915919      0.02095479      0.18635900      0.76845209      0.03349651     15.00000000
    457.60000000    -63.85561759      0.68756070      0.02012982      0.19103550      0.76650209      0.03404466     15.00000000
    457.61000000    -64.00488887      0.68596191      0.01940978      0.19572061      0.76456682      0.03459925     15.00000000
    457.62000000    -64.14369825      0.68436320      0.01877920      0.20041153      0.76264632      0.03515975     15.00000000
    457.63000000    -64.27271578      0.68276494      0.01822505      0.20510562      0.76074066      0.03572562     15.00000000
    457.64000000    -64.39256500      0.68116748      0.01773640      0.20980040      0.75884987      0.03629637     15.00000000
    457.65000000    -64.50382634      0.67957113      0.01730401      0.21449356      0.75697399      0.03687153     15.00000000
    457.66000000    -64.60704022      0.67797619      0.01692015      0.21918293      0.75511303      0.03745066     15.00000000
    457.67000000    -64.70270999      0.67638294      0.01657831      0.22386648      0.75326700      0.03803335     15.00000000
    457.68000000    -64.79130460      0.67479164      0.01627299      0.22854232      0.75143593      0.03861920     15.00000000
    457.69000000    -64.87326108      0.67320251      0.01599957      0.23320869      0.74961979      0.03920784     15.00000000
    457.70000000    -64.94898691      0.67161580      0.01575411      0.23786393      0.74781858      0.03979893     15.00000000
    457.71000000    -65.01886207      0.67003170      0.01553330      0.24250651      0.74603230      0.04039214     15.00000000
    457.72000000    -65.08324110      0.66845042      0.01533431      0.24713502      0.74426091      0.04098716     15.00000000
    457.73000000    -65.14245487      0.66687212      0.01515472      0.25174812      0.74250439      0.04158371     15.00000000
    457.74000000    -65.19681227      0.66529699      0.01499246      0.25634460      0.74076271      0.04218150     15.00000000
    457.75000000    -65.24660183      0.66372517      0.01484574      0.26092331      0.73903583      0.04278027     15.00000000
    457.76000000    -65.29209309      0.66215682      0.01471302      0.26548320      0.73732371      0.04337980     15.00000000
    457.77000000    -65.33353800      0.66059207      0.01459296      0.27002330      0.73562632      0.04397984     15.00000000
    457.78000000    -65.37117211      0.65903105      0.01448439      0.27454272      0.73394360      0.04458018     15.00000000
    457.79000000    -65.40521577      0.65747388      0.01438628      0.27904062      0.73227549      0.04518062     15.00000000
    457.80000000    -65.43587512      0.65592068      0.01429774      0.28351625      0.73062196      0.04578098     15.00000000
    457.81000000    -65.46334315      0.65437153      0.01421796      0.28796890      0.72898293      0.04638106     15.00000000
    457.82000000    -65.48780056      0.65282655      0.01414624      0.29239795      0.72735835      0.04698070     15.00000000
    457.83000000    -65.50941661      0.65128582      0.01408194      0.29680280      0.72574816      0.04757973     15.00000000
    457.84000000    -65.52834992      0.64974943      0.01402451      0.30118292      0.72415228      0.04817802     15.00000000
    457.85000000    -65.54474920      0.64821745      0.01397344      0.30553782      0.72257067      0.04877541     15.00000000
    457.86000000    -65.55875387      0.64668996      0.01392826      0.30986707      0.72100324      0.04937178     15.00000000
    457.87000000    -65.57049478      0.64516702      0.01388858      0.31417027      0.71944992      0.04996700     15.00000000
    457.88000000    -65.58009468      0.64364870      0.01385401      0.31844706      0.71791065      0.05056094     15.00000000
    457.89000000    -65.58766885      0.64213506      0.01382421      0.32269711      0.71638534      0.05115350     15.00000000
    457.90000000    -65.59332554      0.64062614      0.01379889      0.32692015      0.71487393      0.05174457     15.00000000
    457.91000000    -65.59716647      0.63912202      0.01377774      0.33111591      0.71337633      0.05233405     15.00000000
    457.92000000    -65.59928724      0.63762272      0.01376053      0.33528418      0.71189247      0.05292185     15.00000000
    457.93000000    -65.59977775      0.63612829      0.01374700      0.33942476      0.71042228      0.05350788     15.00000000
    457.94000000    -65.59872256      0.63463878      0.01373694      0.34353747      0.70896566      0.05409205     15.00000000
    457.95000000    -65.59620124      0.63315422      0.01373015      0.34762219      0.70752254      0.05467430     15.00000000
    457.96000000    -65.59228869      0.63167464      0.01372645      0.35167878      0.70609284      0.05525453     15.00000000
    457.97000000    -65.58705544      0.63020008      0.01372567      0.35570715      0.70467647      0.05583269     15.00000000
    457.98000000    -65.58056797      0.62873057      0.01372764      0.35970721      0.70327336      0.05640871     15.00000000
    457.99000000    -65.57288889      0.62726614      0.01373222      0.36367892      0.70188342      0.05698252     15.00000000
    458.00000000    -65.56407726      0.62580680      0.01373927      0.36762222      0.70050656      0.05755407     15.00000000
    458.01000000    -65.55418878      0.62435259      0.01374868      0.37153709      0.69914270      0.05812330     15.00000000
    458.02000000    -65.54327600      0.62290352      0.01376031      0.37542353      0.69779176      0.05869016     15.00000000
    458.03000000    -65.53138855      0.62145961      0.01377407      0.37928153      0.69645365      0.05925460     15.00000000
    458.04000000    -65.51857326      0.62002088      0.01378985      0.38311112      0.69512828      0.05981658     15.00000000
    458.05000000    -65.50487441      0.61858735      0.01380756      0.38691232      0.69381557      0.06037605     15.00000000
    458.06000000    -65.49033382      0.61715903      0.01382711      0.39068517      0.69251544      0.06093297     15.00000000
    458.07000000    -65.47499105      0.61573593      0.01384841      0.39442974      0.69122780      0.06148730     15.00000000
    458.08000000    -65.45888352      0.61431806      0.01387139      0.39814607      0.68995256      0.06203900     15.00000000
    458.09000000    -65.44204664      0.61290543      0.01389597      0.40183425      0.68868964      0.06258805     15.00000000
    458.10000000    -65.42451392      0.61149806      0.01392210      0.40549435      0.68743895      0.06313441     15.00000000
    458.11000000    -65.40631712      0.61009595      0.01394969      0.40912647      0.68620040      0.06367806     15.00000000
    458.12000000    -65.38748632      0.60869910      0.01397871      0.41273069      0.68497391      0.06421895     15.00000000
    458.13000000    -65.36805003      0.60730752      0.01400908      0.41630713      0.68375940      0.06475707     15.00000000
    458.14000000    -65.34803531      0.60592123      0.01404076      0.41985589      0.68255677      0.06529239     15.00000000
    458.15000000    -65.32746780      0.60454021      0.01407369      0.42337708      0.68136595      0.06582488     15.00000000
    458.16000000    -65.30637188      0.60316447      0.01410784      0.42687083      0.68018684      0.06635454     15.00000000
    458.17000000    -65.28477067      0.60179402      0.01414316      0.43033727      0.67901936      0.06688132     15.00000000
    458.18000000    -65.26268615      0.60042885      0.01417960      0.43377652      0.67786343      0.06740523     15.00000000
    458.19000000    -65.24013921      0.59906897      0.01421712      0.43718873      0.67671896      0.06792624     15.00000000
    458.20000000    -65.21714971      0.59771437      0.01425570      0.44057402      0.67558587      0.06844432     15.00000000
