 # t(ms)  V(mV)  h  n  h_T  I_inj(pA)
  4.80000000E-01 -7.07603025E+01  8.97784459E-01  5.45707881E-02  4.74617915E-02 -1.75000000E+02
  4.90000000E-01 -7.07758795E+01  8.97846791E-01  5.45455167E-02  4.74633561E-02 -1.75000000E+02
  5.00000000E-01 -7.07914455E+01  8.97910133E-01  5.45198576E-02  4.74649563E-02 -1.75000000E+02
  5.10000000E-01 -7.08070006E+01  8.97974477E-01  5.44938155E-02  4.74665922E-02 -1.75000000E+02
  5.20000000E-01 -7.08225446E+01  8.98039813E-01  5.44673949E-02  4.74682640E-02 -1.75000000E+02
  5.30000000E-01 -7.08380777E+01  8.98106130E-01  5.44406003E-02  4.74699717E-02 -1.75000000E+02
  5.40000000E-01 -7.08535998E+01  8.98173419E-01  5.44134362E-02  4.74717156E-02 -1.75000000E+02
  5.50000000E-01 -7.08691109E+01  8.98241671E-01  5.43859070E-02  4.74734957E-02 -1.75000000E+02
  5.60000000E-01 -7.08846109E+01  8.98310875E-01  5.43580172E-02  4.74753123E-02 -1.75000000E+02
  5.70000000E-01 -7.09000999E+01  8.98381022E-01  5.43297710E-02  4.74771654E-02 -1.75000000E+02
  5.80000000E-01 -7.09155779E+01  8.98452103E-01  5.43011727E-02  4.74790552E-02 -1.75000000E+02
  5.90000000E-01 -7.09310448E+01  8.98524108E-01  5.42722268E-02  4.74809818E-02 -1.75000000E+02
  6.00000000E-01 -7.09465006E+01  8.98597028E-01  5.42429373E-02  4.74829454E-02 -1.75000000E+02
  6.10000000E-01 -7.09619454E+01  8.98670853E-01  5.42133085E-02  4.74849461E-02 -1.75000000E+02
  6.20000000E-01 -7.09773790E+01  8.98745574E-01  5.41833445E-02  4.74869840E-02 -1.75000000E+02
  6.30000000E-01 -7.09928016E+01  8.98821182E-01  5.41530495E-02  4.74890593E-02 -1.75000000E+02
  6.40000000E-01 -7.10082130E+01  8.98897669E-01  5.41224275E-02  4.74911722E-02 -1.75000000E+02
  6.50000000E-01 -7.10236133E+01  8.98975024E-01  5.40914825E-02  4.74933228E-02 -1.75000000E+02
  6.60000000E-01 -7.10390025E+01  8.99053238E-01  5.40602186E-02  4.74955111E-02 -1.75000000E+02
  6.70000000E-01 -7.10543805E+01  8.99132304E-01  5.40286397E-02  4.74977375E-02 -1.75000000E+02
  6.80000000E-01 -7.10697474E+01  8.99212211E-01  5.39967498E-02  4.75000019E-02 -1.75000000E+02
  6.90000000E-01 -7.10851031E+01  8.99292951E-01  5.39645528E-02  4.75023046E-02 -1.75000000E+02
  7.00000000E-01 -7.11004477E+01  8.99374516E-01  5.39320525E-02  4.75046456E-02 -1.75000000E+02
  7.10000000E-01 -7.11157811E+01  8.99456896E-01  5.38992527E-02  4.75070252E-02 -1.75000000E+02
  7.20000000E-01 -7.11311032E+01  8.99540083E-01  5.38661572E-02  4.75094435E-02 -1.75000000E+02
  7.30000000E-01 -7.11464142E+01  8.99624068E-01  5.38327698E-02  4.75119006E-02 -1.75000000E+02
  7.40000000E-01 -7.11617140E+01  8.99708843E-01  5.37990941E-02  4.75143966E-02 -1.75000000E+02
  7.50000000E-01 -7.11770025E+01  8.99794399E-01  5.37651340E-02  4.75169318E-02 -1.75000000E+02
  7.60000000E-01 -7.11922798E+01  8.99880727E-01  5.37308929E-02  4.75195062E-02 -1.75000000E+02
  7.70000000E-01 -7.12075459E+01  8.99967820E-01  5.36963746E-02  4.75221200E-02 -1.75000000E+02
