 # t(ms)  V(mV)  h  n  h_T  I_inj(pA)
  0.00000000E+00 -7.00000000E+01  8.96193170E-01  5.52263204E-02  4.74258732E-02  1.00000000E+02
  1.00000000E-02 -6.99885942E+01  8.96192611E-01  5.52265582E-02  4.74258629E-02  1.00000000E+02
  2.00000000E-02 -6.99771957E+01  8.96190938E-01  5.52272688E-02  4.74258320E-02  1.00000000E+02
  3.00000000E-02 -6.99658043E+01  8.96188158E-01  5.52284478E-02  4.74257806E-02  1.00000000E+02
  4.00000000E-02 -6.99544201E+01  8.96184281E-01  5.52300910E-02  4.74257087E-02  1.00000000E+02
  5.00000000E-02 -6.99430430E+01  8.96179314E-01  5.52321942E-02  4.74256166E-02  1.00000000E+02
  6.00000000E-02 -6.99316730E+01  8.96173265E-01  5.52347532E-02  4.74255042E-02  1.00000000E+02
  7.00000000E-02 -6.99203102E+01  8.96166141E-01  5.52377639E-02  4.74253717E-02  1.00000000E+02
  8.00000000E-02 -6.99089545E+01  8.96157950E-01  5.52412221E-02  4.74252191E-02  1.00000000E+02
  9.00000000E-02 -6.98976059E+01  8.96148700E-01  5.52451238E-02  4.74250465E-02  1.00000000E+02
  1.00000000E-01 -6.98862643E+01  8.96138399E-01  5.52494650E-02  4.74248539E-02  1.00000000E+02
  1.10000000E-01 -6.98749298E+01  8.96127052E-01  5.52542418E-02  4.74246416E-02  1.00000000E+02
  1.20000000E-01 -6.98636024E+01  8.96114669E-01  5.52594500E-02  4.74244095E-02  1.00000000E+02
  1.30000000E-01 -6.98522820E+01  8.96101257E-01  5.52650859E-02  4.74241578E-02  1.00000000E+02
  1.40000000E-01 -6.98409686E+01  8.96086822E-01  5.52711456E-02  4.74238865E-02  1.00000000E+02
  1.50000000E-01 -6.98296622E+01  8.96071372E-01  5.52776252E-02  4.74235956E-02  1.00000000E+02
  1.60000000E-01 -6.98183628E+01  8.96054914E-01  5.52845210E-02  4.74232854E-02  1.00000000E+02
  1.70000000E-01 -6.98070703E+01  8.96037455E-01  5.52918291E-02  4.74229558E-02  1.00000000E+02
  1.80000000E-01 -6.97957849E+01  8.96019003E-01  5.52995458E-02  4.74226070E-02  1.00000000E+02
  1.90000000E-01 -6.97845063E+01  8.95999563E-01  5.53076676E-02  4.74222390E-02  1.00000000E+02
  2.00000000E-01 -6.97732347E+01  8.95979144E-01  5.53161905E-02  4.74218519E-02  1.00000000E+02
  2.10000000E-01 -6.97619700E+01  8.95957752E-01  5.53251112E-02  4.74214458E-02  1.00000000E+02
  2.20000000E-01 -6.97507122E+01  8.95935393E-01  5.53344259E-02  4.74210207E-02  1.00000000E+02
  2.30000000E-01 -6.97394612E+01  8.95912075E-01  5.53441312E-02  4.74205768E-02  1.00000000E+02
  2.40000000E-01 -6.97282172E+01  8.95887804E-01  5.53542235E-02  4.74201141E-02  1.00000000E+02
  2.50000000E-01 -6.97169800E+01  8.95862587E-01  5.53646992E-02  4.74196327E-02  1.00000000E+02
  2.60000000E-01 -6.97057496E+01  8.95836430E-01  5.53755550E-02  4.74191326E-02  1.00000000E+02
  2.70000000E-01 -6.96945260E+01  8.95809341E-01  5.53867875E-02  4.74186140E-02  1.00000000E+02
  2.80000000E-01 -6.96833093E+01  8.95781324E-01  5.53983932E-02  4.74180770E-02  1.00000000E+02
  2.90000000E-01 -6.96720993E+01  8.95752388E-01  5.54103687E-02  4.74175215E-02  1.00000000E+02
  3.00000000E-01 -6.96608961E+01  8.95722538E-01  5.54227108E-02  4.74169477E-02  1.00000000E+02
  3.10000000E-01 -6.96496997E+01  8.95691780E-01  5.54354162E-02  4.74163556E-02  1.00000000E+02
  3.20000000E-01 -6.96385100E+01  8.95660121E-01  5.54484815E-02  4.74157454E-02  1.00000000E+02
  3.30000000E-01 -6.96273270E+01  8.95627567E-01  5.54619036E-02  4.74151170E-02  1.00000000E+02
  3.40000000E-01 -6.96161508E+01  8.95594124E-01  5.54756792E-02  4.74144707E-02  1.00000000E+02
  3.50000000E-01 -6.96049812E+01  8.95559798E-01  5.54898052E-02  4.74138063E-02  1.00000000E+02
  3.60000000E-01 -6.95938184E+01  8.95524595E-01  5.55042785E-02  4.74131241E-02  1.00000000E+02
  3.70000000E-01 -6.95826622E+01  8.95488522E-01  5.55190958E-02  4.74124241E-02  1.00000000E+02
  3.80000000E-01 -6.95715126E+01  8.95451584E-01  5.55342542E-02  4.74117064E-02  1.00000000E+02
  3.90000000E-01 -6.95603697E+01  8.95413787E-01  5.55497505E-02  4.74109709E-02  1.00000000E+02
  4.00000000E-01 -6.95492334E+01  8.95375137E-01  5.55655818E-02  4.74102179E-02  1.00000000E+02
  4.10000000E-01 -6.95381038E+01  8.95335640E-01  5.55817451E-02  4.74094474E-02  1.00000000E+02
  4.20000000E-01 -6.95269807E+01  8.95295301E-01  5.55982373E-02  4.74086594E-02  1.00000000E+02
  4.30000000E-01 -6.95158642E+01  8.95254127E-01  5.56150555E-02  4.74078540E-02  1.00000000E+02
