 # V  ninf  minf  hinf  ainf  binf  taun  taum  tauh  taua  taub
    -95.40000000      0.01664261      0.00023984      0.99941958      0.41334533      0.80655220      2.52074628      0.00684350      0.35122732      1.37824621      3.76918662
    -95.30000000      0.01679560      0.00024323      0.99941081      0.41376052      0.80538777      2.52350652      0.00688164      0.35298476      1.37762227      3.76830719
    -95.20000000      0.01694991      0.00024667      0.99940192      0.41417608      0.80421741      2.52626632      0.00691998      0.35475095      1.37699600      3.76742287
    -95.10000000      0.01710556      0.00025016      0.99939289      0.41459199      0.80304112      2.52902563      0.00695854      0.35652592      1.37636738      3.76653364
    -95.00000000      0.01726256      0.00025370      0.99938372      0.41500826      0.80185889      2.53178442      0.00699731      0.35830973      1.37573642      3.76563948
    -94.90000000      0.01742092      0.00025729      0.99937441      0.41542489      0.80067069      2.53454265      0.00703630      0.36010241      1.37510310      3.76474036
    -94.80000000      0.01758064      0.00026092      0.99936497      0.41584187      0.79947651      2.53730029      0.00707551      0.36190401      1.37446743      3.76383625
    -94.70000000      0.01774175      0.00026461      0.99935538      0.41625922      0.79827633      2.54005730      0.00711493      0.36371457      1.37382939      3.76292714
    -94.60000000      0.01790424      0.00026835      0.99934565      0.41667692      0.79707014      2.54281363      0.00715457      0.36553414      1.37318898      3.76201300
    -94.50000000      0.01806813      0.00027214      0.99933577      0.41709498      0.79585793      2.54556926      0.00719443      0.36736276      1.37254621      3.76109381
    -94.40000000      0.01823343      0.00027599      0.99932574      0.41751340      0.79463968      2.54832414      0.00723452      0.36920046      1.37190105      3.76016953
    -94.30000000      0.01840016      0.00027988      0.99931556      0.41793218      0.79341536      2.55107824      0.00727483      0.37104731      1.37125351      3.75924016
    -94.20000000      0.01856832      0.00028384      0.99930523      0.41835132      0.79218498      2.55383151      0.00731536      0.37290334      1.37060357      3.75830566
    -94.10000000      0.01873792      0.00028784      0.99929474      0.41877081      0.79094852      2.55658391      0.00735612      0.37476859      1.36995125      3.75736601
    -94.00000000      0.01890898      0.00029191      0.99928409      0.41919067      0.78970595      2.55933541      0.00739710      0.37664311      1.36929652      3.75642119
    -93.90000000      0.01908150      0.00029603      0.99927328      0.41961088      0.78845727      2.56208596      0.00743831      0.37852695      1.36863939      3.75547117
    -93.80000000      0.01925550      0.00030020      0.99926231      0.42003145      0.78720246      2.56483552      0.00747975      0.38042015      1.36797985      3.75451592
    -93.70000000      0.01943099      0.00030444      0.99925117      0.42045238      0.78594151      2.56758406      0.00752142      0.38232275      1.36731790      3.75355543
    -93.60000000      0.01960798      0.00030873      0.99923987      0.42087367      0.78467440      2.57033153      0.00756333      0.38423480      1.36665353      3.75258967
    -93.50000000      0.01978648      0.00031309      0.99922840      0.42129532      0.78340113      2.57307788      0.00760546      0.38615635      1.36598673      3.75161861
    -93.40000000      0.01996650      0.00031750      0.99921675      0.42171732      0.78212167      2.57582308      0.00764783      0.38808745      1.36531750      3.75064223
    -93.30000000      0.02014806      0.00032198      0.99920492      0.42213969      0.78083602      2.57856709      0.00769044      0.39002813      1.36464583      3.74966050
    -93.20000000      0.02033117      0.00032652      0.99919292      0.42256241      0.77954416      2.58130986      0.00773328      0.39197844      1.36397173      3.74867340
    -93.10000000      0.02051583      0.00033112      0.99918074      0.42298549      0.77824608      2.58405134      0.00777636      0.39393844      1.36329518      3.74768091
    -93.00000000      0.02070206      0.00033579      0.99916837      0.42340894      0.77694177      2.58679150      0.00781968      0.39590816      1.36261618      3.74668300
    -92.90000000      0.02088987      0.00034052      0.99915582      0.42383274      0.77563121      2.58953028      0.00786324      0.39788766      1.36193473      3.74567964
    -92.80000000      0.02107928      0.00034532      0.99914308      0.42425689      0.77431440      2.59226765      0.00790705      0.39987698      1.36125081      3.74467081
    -92.70000000      0.02127029      0.00035018      0.99913014      0.42468141      0.77299131      2.59500357      0.00795109      0.40187617      1.36056443      3.74365649
    -92.60000000      0.02146292      0.00035511      0.99911701      0.42510629      0.77166195      2.59773797      0.00799539      0.40388528      1.35987559      3.74263665
    -92.50000000      0.02165718      0.00036011      0.99910368      0.42553153      0.77032629      2.60047083      0.00803992      0.40590435      1.35918427      3.74161126
    -92.40000000      0.02185308      0.00036518      0.99909016      0.42595712      0.76898434      2.60320209      0.00808471      0.40793343      1.35849046      3.74058030
