 # t  V  n  m  h  a  b  J
      0.55000000    -67.97462483      0.15581458      0.01007450      0.96530307      0.54041510      0.28850422      0.00000000
      0.56000000    -67.97461877      0.15581483      0.01007451      0.96530749      0.54041533      0.28850429      0.00000000
      0.57000000    -67.97461308      0.15581509      0.01007452      0.96531188      0.54041556      0.28850436      0.00000000
      0.58000000    -67.97460777      0.15581535      0.01007453      0.96531624      0.54041578      0.28850442      0.00000000
      0.59000000    -67.97460281      0.15581560      0.01007454      0.96532056      0.54041601      0.28850449      0.00000000
      0.60000000    -67.97459819      0.15581586      0.01007455      0.96532486      0.54041623      0.28850456      0.00000000
      0.61000000    -67.97459392      0.15581611      0.01007455      0.96532911      0.54041645      0.28850462      0.00000000
      0.62000000    -67.97458997      0.15581636      0.01007456      0.96533334      0.54041667      0.28850469      0.00000000
      0.63000000    -67.97458633      0.15581661      0.01007457      0.96533754      0.54041689      0.28850476      0.00000000
      0.64000000    -67.97458301      0.15581687      0.01007457      0.96534170      0.54041711      0.28850482      0.00000000
      0.65000000    -67.97457998      0.15581712      0.01007458      0.96534583      0.54041732      0.28850489      0.00000000
      0.66000000    -67.97457724      0.15581737      0.01007458      0.96534994      0.54041753      0.28850496      0.00000000
      0.67000000    -67.97457478      0.15581762      0.01007459      0.96535401      0.54041774      0.28850502      0.00000000
      0.68000000    -67.97457260      0.15581787      0.01007459      0.96535805      0.54041795      0.28850509      0.00000000
      0.69000000    -67.97457068      0.15581811      0.01007459      0.96536206      0.54041816      0.28850515      0.00000000
      0.70000000    -67.97456901      0.15581836      0.01007460      0.96536604      0.54041837      0.28850522      0.00000000
      0.71000000    -67.97456759      0.15581861      0.01007460      0.96536999      0.54041857      0.28850529      0.00000000
      0.72000000    -67.97456642      0.15581885      0.01007460      0.96537392      0.54041877      0.28850535      0.00000000
      0.73000000    -67.97456548      0.15581910      0.01007461      0.96537781      0.54041897      0.28850542      0.00000000
      0.74000000    -67.97456476      0.15581934      0.01007461      0.96538167      0.54041917      0.28850548      0.00000000
      0.75000000    -67.97456427      0.15581959      0.01007461      0.96538551      0.54041937      0.28850555      0.00000000
      0.76000000    -67.97456398      0.15581983      0.01007461      0.96538931      0.54041956      0.28850561      0.00000000
      0.77000000    -67.97456391      0.15582007      0.01007461      0.96539309      0.54041975      0.28850568      0.00000000
      0.78000000    -67.97456403      0.15582031      0.01007461      0.96539684      0.54041994      0.28850574      0.00000000
      0.79000000    -67.97456434      0.15582055      0.01007461      0.96540056      0.54042013      0.28850581      0.00000000
      0.80000000    -67.97456484      0.15582079      0.01007461      0.96540426      0.54042032      0.28850587      0.00000000
      0.81000000    -67.97456552      0.15582103      0.01007461      0.96540792      0.54042051      0.28850594      0.00000000
      0.82000000    -67.97456638      0.15582127      0.01007461      0.96541156      0.54042069      0.28850601      0.00000000
      0.83000000    -67.97456740      0.15582150      0.01007461      0.96541517      0.54042088      0.28850607      0.00000000
      0.84000000    -67.97456859      0.15582174      0.01007461      0.96541876      0.54042106      0.28850614      0.00000000
      0.85000000    -67.97456994      0.15582198      0.01007461      0.96542232      0.54042124      0.28850620      0.00000000
      0.86000000    -67.97457144      0.15582221      0.01007461      0.96542585      0.54042141      0.28850627      0.00000000
      0.87000000    -67.97457309      0.15582244      0.01007461      0.96542936      0.54042159      0.28850633      0.00000000
      0.88000000    -67.97457488      0.15582268      0.01007461      0.96543284      0.54042176      0.28850640      0.00000000
      0.89000000    -67.97457680      0.15582291      0.01007460      0.96543629      0.54042194      0.28850646      0.00000000
      0.90000000    -67.97457886      0.15582314      0.01007460      0.96543972      0.54042211      0.28850653      0.00000000
      0.91000000    -67.97458105      0.15582337      0.01007460      0.96544312      0.54042228      0.28850659      0.00000000
      0.92000000    -67.97458336      0.15582360      0.01007460      0.96544650      0.54042245      0.28850666      0.00000000
