 # t  V  n  m  h  a  b  J
      0.63000000    -67.97473167      0.15581650      0.01007439      0.96533766      0.54041675      0.28851788      0.00000000
      0.64000000    -67.97473157      0.15581674      0.01007439      0.96534182      0.54041696      0.28851812      0.00000000
      0.65000000    -67.97473176      0.15581699      0.01007439      0.96534596      0.54041717      0.28851835      0.00000000
      0.66000000    -67.97473226      0.15581724      0.01007439      0.96535007      0.54041737      0.28851859      0.00000000
      0.67000000    -67.97473303      0.15581748      0.01007439      0.96535415      0.54041758      0.28851882      0.00000000
      0.68000000    -67.97473408      0.15581772      0.01007439      0.96535819      0.54041778      0.28851905      0.00000000
      0.69000000    -67.97473540      0.15581797      0.01007439      0.96536221      0.54041798      0.28851928      0.00000000
      0.70000000    -67.97473697      0.15581821      0.01007439      0.96536619      0.54041818      0.28851951      0.00000000
      0.71000000    -67.97473880      0.15581845      0.01007439      0.96537015      0.54041838      0.28851974      0.00000000
      0.72000000    -67.97474086      0.15581869      0.01007439      0.96537408      0.54041858      0.28851997      0.00000000
      0.73000000    -67.97474317      0.15581893      0.01007439      0.96537797      0.54041877      0.28852020      0.00000000
      0.74000000    -67.97474569      0.15581917      0.01007438      0.96538184      0.54041896      0.28852043      0.00000000
      0.75000000    -67.97474844      0.15581941      0.01007438      0.96538568      0.54041915      0.28852066      0.00000000
      0.76000000    -67.97475140      0.15581964      0.01007438      0.96538950      0.54041934      0.28852089      0.00000000
      0.77000000    -67.97475457      0.15581988      0.01007437      0.96539328      0.54041953      0.28852111      0.00000000
      0.78000000    -67.97475793      0.15582011      0.01007437      0.96539703      0.54041971      0.28852134      0.00000000
      0.79000000    -67.97476149      0.15582035      0.01007437      0.96540076      0.54041989      0.28852157      0.00000000
      0.80000000    -67.97476523      0.15582058      0.01007436      0.96540446      0.54042007      0.28852179      0.00000000
      0.81000000    -67.97476915      0.15582081      0.01007436      0.96540813      0.54042025      0.28852202      0.00000000
      0.82000000    -67.97477324      0.15582105      0.01007435      0.96541178      0.54042043      0.28852224      0.00000000
      0.83000000    -67.97477750      0.15582128      0.01007435      0.96541540      0.54042061      0.28852247      0.00000000
      0.84000000    -67.97478192      0.15582151      0.01007434      0.96541899      0.54042078      0.28852269      0.00000000
      0.85000000    -67.97478649      0.15582173      0.01007434      0.96542255      0.54042095      0.28852291      0.00000000
      0.86000000    -67.97479122      0.15582196      0.01007433      0.96542609      0.54042112      0.28852314      0.00000000
      0.87000000    -67.97479609      0.15582219      0.01007433      0.96542961      0.54042129      0.28852336      0.00000000
      0.88000000    -67.97480110      0.15582242      0.01007432      0.96543309      0.54042146      0.28852358      0.00000000
      0.89000000    -67.97480625      0.15582264      0.01007431      0.96543655      0.54042162      0.28852380      0.00000000
      0.90000000    -67.97481152      0.15582287      0.01007431      0.96543999      0.54042179      0.28852402      0.00000000
      0.91000000    -67.97481692      0.15582309      0.01007430      0.96544340      0.54042195      0.28852425      0.00000000
      0.92000000    -67.97482244      0.15582331      0.01007430      0.96544678      0.54042211      0.28852447      0.00000000
      0.93000000    -67.97482807      0.15582353      0.01007429      0.96545014      0.54042227      0.28852469      0.00000000
      0.94000000    -67.97483382      0.15582375      0.01007428      0.96545348      0.54042242      0.28852491      0.00000000
      0.95000000    -67.97483967      0.15582397      0.01007427      0.96545679      0.54042258      0.28852513      0.00000000
      0.96000000    -67.97484563      0.15582419      0.01007427      0.96546007      0.54042273      0.28852535      0.00000000
      0.97000000    -67.97485168      0.15582441      0.01007426      0.96546333      0.54042288      0.28852557      0.00000000
      0.98000000    -67.97485783      0.15582463      0.01007425      0.96546657      0.54042303      0.28852579      0.00000000
      0.99000000    -67.97486407      0.15582484      0.01007424      0.96546978      0.54042318      0.28852601      0.00000000
      1.00000000    -67.97487039      0.15582506      0.01007424      0.96547297      0.54042333      0.28852622      0.00000000
      1.01000000    -67.97487680      0.15582527      0.01007423      0.96547614      0.54042347      0.28852644      0.00000000
      1.02000000    -67.97488329      0.15582548      0.01007422      0.96547928      0.54042362      0.28852666      0.00000000
      1.03000000    -67.97488986      0.15582570      0.01007421      0.96548240      0.54042376      0.28852688      0.00000000
      1.04000000    -67.97489650      0.15582591      0.01007420      0.96548550      0.54042390      0.28852710      0.00000000
      1.05000000    -67.97490321      0.15582612      0.01007419      0.96548857      0.54042404      0.28852731      0.00000000
      1.06000000    -67.97490999      0.15582633      0.01007419      0.96549162      0.54042417      0.28852753      0.00000000
      1.07000000    -67.97491683      0.15582654      0.01007418      0.96549465      0.54042431      0.28852775      0.00000000
      1.08000000    -67.97492373      0.15582674      0.01007417      0.96549766      0.54042444      0.28852796      0.00000000
      1.09000000    -67.97493069      0.15582695      0.01007416      0.96550064      0.54042458      0.28852818      0.00000000
      1.10000000    -67.97493770      0.15582716      0.01007415      0.96550360      0.54042471      0.28852840      0.00000000
      1.11000000    -67.97494477      0.15582736      0.01007414      0.96550654      0.54042484      0.28852861      0.00000000
      1.12000000    -67.97495188      0.15582757      0.01007413      0.96550946      0.54042497      0.28852883      0.00000000
      1.13000000    -67.97495905      0.15582777      0.01007412      0.96551236      0.54042509      0.28852905      0.00000000
      1.14000000    -67.97496625      0.15582797      0.01007411      0.96551524      0.54042522      0.28852926      0.00000000
      1.15000000    -67.97497350      0.15582817      0.01007410      0.96551809      0.54042534      0.28852948      0.00000000
      1.16000000    -67.97498079      0.15582837      0.01007410      0.96552093      0.54042546      0.28852969      0.00000000
      1.17000000    -67.97498812      0.15582857      0.01007409      0.96552374      0.54042559      0.28852991      0.00000000
      1.18000000    -67.97499548      0.15582877      0.01007408      0.96552653      0.54042570      0.28853012      0.00000000
      1.19000000    -67.97500288      0.15582897      0.01007407      0.96552930      0.54042582      0.28853034      0.00000000
      1.20000000    -67.97501031      0.15582916      0.01007406      0.96553205      0.54042594      0.28853055      0.00000000
      1.21000000    -67.97501777      0.15582936      0.01007405      0.96553479      0.54042605      0.28853076      0.00000000
      1.22000000    -67.97502525      0.15582956      0.01007404      0.96553750      0.54042617      0.28853098      0.00000000
      1.23000000    -67.97503276      0.15582975      0.01007403      0.96554019      0.54042628      0.28853119      0.00000000
      1.24000000    -67.97504029      0.15582994      0.01007402      0.96554286      0.54042639      0.28853141      0.00000000
      1.25000000    -67.97504785      0.15583014      0.01007401      0.96554551      0.54042650      0.28853162      0.00000000
      1.26000000    -67.97505542      0.15583033      0.01007400      0.96554814      0.54042661      0.28853183      0.00000000
      1.27000000    -67.97506301      0.15583052      0.01007399      0.96555076      0.54042672      0.28853205      0.00000000
      1.28000000    -67.97507062      0.15583071      0.01007398      0.96555335      0.54042682      0.28853226      0.00000000
      1.29000000    -67.97507825      0.15583090      0.01007397      0.96555592      0.54042693      0.28853247      0.00000000
      1.30000000    -67.97508588      0.15583108      0.01007396      0.96555848      0.54042703      0.28853269      0.00000000
      1.31000000    -67.97509353      0.15583127      0.01007395      0.96556102      0.54042713      0.28853290      0.00000000
      1.32000000    -67.97510119      0.15583146      0.01007394      0.96556354      0.54042723      0.28853311      0.00000000
      1.33000000    -67.97510886      0.15583164      0.01007393      0.96556604      0.54042733      0.28853332      0.00000000
      1.34000000    -67.97511654      0.15583183      0.01007392      0.96556852      0.54042743      0.28853354      0.00000000
      1.35000000    -67.97512422      0.15583201      0.01007391      0.96557098      0.54042753      0.28853375      0.00000000
      1.36000000    -67.97513191      0.15583219      0.01007390      0.96557343      0.54042763      0.28853396      0.00000000
      1.37000000    -67.97513960      0.15583237      0.01007389      0.96557585      0.54042772      0.28853417      0.00000000
      1.38000000    -67.97514730      0.15583255      0.01007388      0.96557826      0.54042781      0.28853438      0.00000000
      1.39000000    -67.97515499      0.15583273      0.01007387      0.96558066      0.54042791      0.28853459      0.00000000
      1.40000000    -67.97516269      0.15583291      0.01007386      0.96558303      0.54042800      0.28853481      0.00000000
      1.41000000    -67.97517039      0.15583309      0.01007385      0.96558539      0.54042809      0.28853502      0.00000000
      1.42000000    -67.97517808      0.15583327      0.01007384      0.96558773      0.54042817      0.28853523      0.00000000
      1.43000000    -67.97518578      0.15583345      0.01007383      0.96559005      0.54042826      0.28853544      0.00000000
      1.44000000    -67.97519346      0.15583362      0.01007382      0.96559236      0.54042835      0.28853565      0.00000000
      1.45000000    -67.97520115      0.15583380      0.01007381      0.96559464      0.54042843      0.28853586      0.00000000
      1.46000000    -67.97520883      0.15583397      0.01007380      0.96559692      0.54042852      0.28853607      0.00000000
      1.47000000    -67.97521650      0.15583414      0.01007379      0.96559917      0.54042860      0.28853628      0.00000000
      1.48000000    -67.97522416      0.15583432      0.01007378      0.96560141      0.54042868      0.28853649      0.00000000
      1.49000000    -67.97523182      0.15583449      0.01007377      0.96560363      0.54042876      0.28853670      0.00000000
      1.50000000    -67.97523947      0.15583466      0.01007376      0.96560584      0.54042884      0.28853691      0.00000000
      1.51000000    -67.97524711      0.15583483      0.01007375      0.96560803      0.54042892      0.28853712      0.00000000
      1.52000000    -67.97525474      0.15583500      0.01007374      0.96561020      0.54042900      0.28853733      0.00000000
      1.53000000    -67.97526235      0.15583517      0.01007373      0.96561236      0.54042908      0.28853754      0.00000000
      1.54000000    -67.97526996      0.15583533      0.01007372      0.96561450      0.54042915      0.28853775      0.00000000
      1.55000000    -67.97527755      0.15583550      0.01007371      0.96561663      0.54042923      0.28853796      0.00000000
      1.56000000    -67.97528513      0.15583567      0.01007370      0.96561874      0.54042930      0.28853817      0.00000000
      1.57000000    -67.97529270      0.15583583      0.01007369      0.96562084      0.54042937      0.28853838      0.00000000
      1.58000000    -67.97530025      0.15583600      0.01007368      0.96562292      0.54042945      0.28853859      0.00000000
      1.59000000    -67.97530779      0.15583616      0.01007367      0.96562498      0.54042952      0.28853879      0.00000000
      1.60000000    -67.97531531      0.15583632      0.01007366      0.96562703      0.54042959      0.28853900      0.00000000
      1.61000000    -67.97532282      0.15583648      0.01007365      0.96562907      0.54042965      0.28853921      0.00000000
      1.62000000    -67.97533031      0.15583665      0.01007364      0.96563109      0.54042972      0.28853942      0.00000000
      1.63000000    -67.97533778      0.15583681      0.01007363      0.96563309      0.54042979      0.28853963      0.00000000
      1.64000000    -67.97534524      0.15583697      0.01007362      0.96563508      0.54042985      0.28853983      0.00000000
      1.65000000    -67.97535267      0.15583712      0.01007361      0.96563706      0.54042992      0.28854004      0.00000000
      1.66000000    -67.97536009      0.15583728      0.01007360      0.96563902      0.54042998      0.28854025      0.00000000
      1.67000000    -67.97536750      0.15583744      0.01007359      0.96564097      0.54043005      0.28854046      0.00000000
      1.68000000    -67.97537488      0.15583760      0.01007358      0.96564290      0.54043011      0.28854066      0.00000000
      1.69000000    -67.97538224      0.15583775      0.01007357      0.96564482      0.54043017      0.28854087      0.00000000
      1.70000000    -67.97538959      0.15583791      0.01007356      0.96564673      0.54043023      0.28854108      0.00000000
      1.71000000    -67.97539691      0.15583806      0.01007355      0.96564862      0.54043029      0.28854128      0.00000000
      1.72000000    -67.97540421      0.15583821      0.01007354      0.96565049      0.54043035      0.28854149      0.00000000
      1.73000000    -67.97541149      0.15583837      0.01007353      0.96565236      0.54043041      0.28854170      0.00000000
      1.74000000    -67.97541876      0.15583852      0.01007352      0.96565421      0.54043046      0.28854190      0.00000000
      1.75000000    -67.97542600      0.15583867      0.01007351      0.96565604      0.54043052      0.28854211      0.00000000
      1.76000000    -67.97543321      0.15583882      0.01007350      0.96565787      0.54043057      0.28854232      0.00000000
      1.77000000    -67.97544041      0.15583897      0.01007349      0.96565968      0.54043063      0.28854252      0.00000000
      1.78000000    -67.97544759      0.15583912      0.01007348      0.96566147      0.54043068      0.28854273      0.00000000
      1.79000000    -67.97545474      0.15583927      0.01007347      0.96566326      0.54043073      0.28854293      0.00000000
      1.80000000    -67.97546187      0.15583942      0.01007346      0.96566503      0.54043079      0.28854314      0.00000000
      1.81000000    -67.97546897      0.15583956      0.01007345      0.96566678      0.54043084      0.28854334      0.00000000
      1.82000000    -67.97547606      0.15583971      0.01007345      0.96566853      0.54043089      0.28854355      0.00000000
      1.83000000    -67.97548312      0.15583985      0.01007344      0.96567026      0.54043094      0.28854375      0.00000000
      1.84000000    -67.97549016      0.15584000      0.01007343      0.96567198      0.54043099      0.28854396      0.00000000
      1.85000000    -67.97549717      0.15584014      0.01007342      0.96567368      0.54043103      0.28854416      0.00000000
      1.86000000    -67.97550416      0.15584028      0.01007341      0.96567538      0.54043108      0.28854437      0.00000000
      1.87000000    -67.97551113      0.15584043      0.01007340      0.96567706      0.54043113      0.28854457      0.00000000
      1.88000000    -67.97551807      0.15584057      0.01007339      0.96567873      0.54043117      0.28854477      0.00000000
      1.89000000    -67.97552499      0.15584071      0.01007338      0.96568039      0.54043122      0.28854498      0.00000000
      1.90000000    -67.97553189      0.15584085      0.01007337      0.96568203      0.54043126      0.28854518      0.00000000
      1.91000000    -67.97553876      0.15584099      0.01007336      0.96568367      0.54043131      0.28854538      0.00000000
      1.92000000    -67.97554561      0.15584113      0.01007335      0.96568529      0.54043135      0.28854559      0.00000000
      1.93000000    -67.97555243      0.15584127      0.01007334      0.96568690      0.54043139      0.28854579      0.00000000
      1.94000000    -67.97555923      0.15584141      0.01007333      0.96568849      0.54043144      0.28854599      0.00000000
      1.95000000    -67.97556600      0.15584154      0.01007333      0.96569008      0.54043148      0.28854620      0.00000000
      1.96000000    -67.97557275      0.15584168      0.01007332      0.96569165      0.54043152      0.28854640      0.00000000
      1.97000000    -67.97557947      0.15584181      0.01007331      0.96569322      0.54043156      0.28854660      0.00000000
      1.98000000    -67.97558617      0.15584195      0.01007330      0.96569477      0.54043159      0.28854680      0.00000000
      1.99000000    -67.97559285      0.15584208      0.01007329      0.96569631      0.54043163      0.28854700      0.00000000
      2.00000000    -67.97559949      0.15584222      0.01007328      0.96569784      0.54043167      0.28854721      0.00000000
      2.01000000    -67.97560612      0.15584235      0.01007327      0.96569936      0.54043171      0.28854741      0.00000000
      2.02000000    -67.97561272      0.15584248      0.01007326      0.96570086      0.54043174      0.28854761      0.00000000
      2.03000000    -67.97561929      0.15584261      0.01007325      0.96570236      0.54043178      0.28854781      0.00000000
      2.04000000    -67.97562584      0.15584274      0.01007325      0.96570384      0.54043181      0.28854801      0.00000000
      2.05000000    -67.97563237      0.15584287      0.01007324      0.96570532      0.54043185      0.28854821      0.00000000
      2.06000000    -67.97563887      0.15584300      0.01007323      0.96570678      0.54043188      0.28854841      0.00000000
      2.07000000    -67.97564534      0.15584313      0.01007322      0.96570823      0.54043192      0.28854861      0.00000000
      2.08000000    -67.97565179      0.15584326      0.01007321      0.96570968      0.54043195      0.28854881      0.00000000
